pitch,yaw,tick,steamid
0.9901428,-98.01487,15442,76561199039565051
0.9901428,-98.3448,15443,76561199039565051
0.9901428,-98.78494,15444,76561199039565051
0.9901428,-98.92227,15445,76561199039565051
0.9901428,-98.95008,15446,76561199039565051
0.9901428,-98.95008,15447,76561199039565051
0.9901428,-98.95008,15448,76561199039565051
0.9901428,-98.95008,15449,76561199039565051
0.9901428,-98.95008,15450,76561199039565051
0.9901428,-98.95008,15451,76561199039565051
0.9901428,-98.95008,15452,76561199039565051
0.9901428,-98.95008,15453,76561199039565051
0.9901428,-98.95008,15454,76561199039565051
0.9901428,-98.95008,15455,76561199039565051
0.9901428,-98.95008,15456,76561199039565051
0.9901428,-98.95008,15457,76561199039565051
0.9901428,-98.95008,15458,76561199039565051
0.9901428,-98.95008,15459,76561199039565051
0.9901428,-98.95008,15460,76561199039565051
0.9901428,-98.95008,15461,76561199039565051
0.9901428,-98.95008,15462,76561199039565051
0.9901428,-98.95008,15463,76561199039565051
0.9901428,-98.95008,15464,76561199039565051
0.9901428,-98.95008,15465,76561199039565051
0.9901428,-98.95008,15466,76561199039565051
0.9623413,-98.839874,15467,76561199039565051
0.9623413,-98.619804,15468,76561199039565051
0.9623413,-98.31734,15469,76561199039565051
0.9623413,-97.87754,15470,76561199039565051
0.9623413,-97.57507,15471,76561199039565051
0.9623413,-96.44726,15472,76561199039565051
0.9623413,-95.40253,15473,76561199039565051
0.9623413,-93.91731,15474,76561199039565051
0.9623413,-93.03738,15475,76561199039565051
1.0450745,-89.46236,15476,76561199039565051
1.0450745,-88.00495,15477,76561199039565051
1.0450745,-84.84226,15478,76561199039565051
1.0450745,-79.72744,15479,76561199039565051
1.0450745,-77.93976,15480,76561199039565051
1.0450745,-74.695015,15481,76561199039565051
0.8250122,-70.899925,15482,76561199039565051
0.65986633,-70.07492,15483,76561199039565051
0.2749939,-69.22245,15484,76561199039565051
-0.08239746,-69.02985,15485,76561199039565051
-0.10986328,-69.00238,15486,76561199039565051
-0.10986328,-69.00238,15487,76561199039565051
-0.10986328,-69.00238,15488,76561199039565051
-0.10986328,-69.00238,15489,76561199039565051
-0.10986328,-69.00238,15490,76561199039565051
-0.10986328,-69.00238,15491,76561199039565051
-0.10986328,-69.00238,15492,76561199039565051
-0.10986328,-69.00238,15493,76561199039565051
-0.10986328,-69.00238,15494,76561199039565051
-0.10986328,-69.00238,15495,76561199039565051
-0.10986328,-69.00238,15496,76561199039565051
-0.10986328,-69.00238,15497,76561199039565051
-0.10986328,-68.89252,15498,76561199039565051
-0.05493164,-68.59005,15499,76561199039565051
0.02746582,-68.397446,15500,76561199039565051
0.05493164,-68.342514,15501,76561199039565051
0.08239746,-68.31505,15502,76561199039565051
0.10986328,-68.31505,15503,76561199039565051
0.1373291,-68.534775,15504,76561199039565051
0.19259644,-68.617516,15505,76561199039565051
0.30245972,-68.78231,15506,76561199039565051
0.35739136,-69.00238,15507,76561199039565051
0.35739136,-69.02985,15508,76561199039565051
0.35739136,-69.05731,15509,76561199039565051
0.35739136,-69.05731,15510,76561199039565051
0.35739136,-69.05731,15511,76561199039565051
0.35739136,-69.05731,15512,76561199039565051
0.35739136,-69.05731,15513,76561199039565051
0.35739136,-69.05731,15514,76561199039565051
0.35739136,-69.05731,15515,76561199039565051
0.35739136,-69.05731,15516,76561199039565051
0.35739136,-69.05731,15517,76561199039565051
0.35739136,-69.05731,15518,76561199039565051
0.35739136,-69.05731,15519,76561199039565051
0.35739136,-69.05731,15520,76561199039565051
0.30245972,-69.14005,15521,76561199039565051
0.24752808,-69.27738,15522,76561199039565051
0.24752808,-69.52492,15523,76561199039565051
0.24752808,-69.57985,15524,76561199039565051
0.24752808,-69.71752,15525,76561199039565051
0.24752808,-69.77245,15526,76561199039565051
0.24752808,-69.90978,15527,76561199039565051
0.24752808,-69.90978,15528,76561199039565051
0.24752808,-69.90978,15529,76561199039565051
0.2749939,-69.88232,15530,76561199039565051
0.32992554,-69.74499,15531,76561199039565051
0.38485718,-69.52492,15532,76561199039565051
0.41267395,-69.22245,15533,76561199039565051
0.41267395,-69.02985,15534,76561199039565051
0.41267395,-68.28758,15535,76561199039565051
0.41267395,-67.682304,15536,76561199039565051
0.41267395,-67.049904,15537,76561199039565051
0.44013977,-66.692505,15538,76561199039565051
0.4676056,-65.64743,15539,76561199039565051
0.4676056,-64.822426,15540,76561199039565051
0.4676056,-64.382286,15541,76561199039565051
0.4950714,-63.337555,15542,76561199039565051
0.52253723,-62.70481,15543,76561199039565051
0.55000305,-59.98226,15544,76561199039565051
0.55000305,-58.414993,15545,76561199039565051
0.55000305,-57.617455,15546,76561199039565051
0.44013977,-55.27977,15547,76561199039565051
0.32992554,-54.7023,15548,76561199039565051
-0.02746582,-54.124832,15549,76561199039565051
-0.16513062,-53.987503,15550,76561199039565051
-0.19259644,-53.960037,15551,76561199039565051
-0.19259644,-53.960037,15552,76561199039565051
-0.19259644,-53.960037,15553,76561199039565051
-0.19259644,-53.960037,15554,76561199039565051
-0.19259644,-53.960037,15555,76561199039565051
-0.19259644,-53.960037,15556,76561199039565051
-0.19259644,-53.960037,15557,76561199039565051
-0.19259644,-53.960037,15558,76561199039565051
-0.1373291,-53.7949,15559,76561199039565051
-0.02746582,-53.519897,15560,76561199039565051
0.10986328,-52.694893,15561,76561199039565051
0.16513062,-52.14489,15562,76561199039565051
0.6049347,-49.174805,15563,76561199039565051
0.7151489,-48.267395,15564,76561199039565051
0.7151489,-48.267395,15565,76561199039565051
0.852478,-44.499786,15566,76561199039565051
0.852478,-42.519836,15567,76561199039565051
0.852478,-41.557495,15568,76561199039565051
0.852478,-39.13742,15569,76561199039565051
0.9348755,-37.982483,15570,76561199039565051
1.0176086,-37.350082,15571,76561199039565051
1.0450745,-37.184937,15572,76561199039565051
1.0450745,-37.130005,15573,76561199039565051
1.0450745,-37.130005,15574,76561199039565051
1.0450745,-37.130005,15575,76561199039565051
0.9623413,-37.48741,15576,76561199039565051
0.87994385,-37.76242,15577,76561199039565051
0.7975464,-37.955017,15578,76561199039565051
0.5774689,-38.724747,15579,76561199039565051
0.4676056,-39.27475,15580,76561199039565051
0.38485718,-39.71489,15581,76561199039565051
0.30245972,-40.099762,15582,76561199039565051
0.2749939,-40.264893,15583,76561199039565051
0.22006226,-40.484955,15584,76561199039565051
0.22006226,-40.567352,15585,76561199039565051
0.22006226,-40.567352,15586,76561199039565051
0.22006226,-40.567352,15587,76561199039565051
0.22006226,-40.567352,15588,76561199039565051
0.22006226,-40.567352,15589,76561199039565051
0.22006226,-40.567352,15590,76561199039565051
0.22006226,-40.567352,15591,76561199039565051
0.22006226,-40.567352,15592,76561199039565051
0.22006226,-40.567352,15593,76561199039565051
0.22006226,-40.567352,15594,76561199039565051
0.22006226,-40.567352,15595,76561199039565051
0.22006226,-40.567352,15596,76561199039565051
0.22006226,-40.567352,15597,76561199039565051
0.22006226,-40.484955,15598,76561199039565051
0.22006226,-40.430023,15599,76561199039565051
0.22006226,-40.430023,15600,76561199039565051
0.22006226,-40.402557,15601,76561199039565051
0.22006226,-40.374756,15602,76561199039565051
0.22006226,-40.374756,15603,76561199039565051
0.22006226,-40.374756,15604,76561199039565051
0.22006226,-40.374756,15605,76561199039565051
0.2749939,-40.319824,15606,76561199039565051
0.2749939,-40.182495,15607,76561199039565051
0.2749939,-39.9899,15608,76561199039565051
0.2749939,-39.880035,15609,76561199039565051
0.2749939,-39.687424,15610,76561199039565051
0.2749939,-39.605026,15611,76561199039565051
0.2749939,-39.467346,15612,76561199039565051
0.2749939,-39.43988,15613,76561199039565051
0.2749939,-39.412415,15614,76561199039565051
0.2749939,-39.38495,15615,76561199039565051
0.2749939,-39.38495,15616,76561199039565051
0.2749939,-39.357483,15617,76561199039565051
0.2749939,-39.30255,15618,76561199039565051
0.2749939,-39.21982,15619,76561199039565051
0.2749939,-39.164886,15620,76561199039565051
0.2749939,-38.999756,15621,76561199039565051
0.2749939,-38.944824,15622,76561199039565051
0.2749939,-38.91736,15623,76561199039565051
0.2749939,-38.83496,15624,76561199039565051
0.2749939,-38.752563,15625,76561199039565051
0.2749939,-38.724747,15626,76561199039565051
0.2749939,-38.55995,15627,76561199039565051
0.2749939,-38.477554,15628,76561199039565051
0.2749939,-38.257477,15629,76561199039565051
0.2749939,-37.817352,15630,76561199039565051
0.2749939,-37.817352,15631,76561199039565051
0.2749939,-37.10254,15632,76561199039565051
0.2749939,-36.882477,15633,76561199039565051
0.2749939,-36.41487,15634,76561199039565051
0.2749939,-35.809937,15635,76561199039565051
0.24752808,-34.655,15636,76561199039565051
0.19259644,-34.21486,15637,76561199039565051
0.16513062,-33.307465,15638,76561199039565051
0.1373291,-32.344788,15639,76561199039565051
0.10986328,-31.877518,15640,76561199039565051
0.02746582,-30.969772,15641,76561199039565051
0.0,-30.172577,15642,76561199039565051
0.0,-29.237366,15643,76561199039565051
0.0,-28.797577,15644,76561199039565051
0.0,-28.632431,15645,76561199039565051
0.0,-28.329956,15646,76561199039565051
0.0,-28.13736,15647,76561199039565051
0.0,-27.889832,15648,76561199039565051
0.0,-27.889832,15649,76561199039565051
0.0,-27.725037,15650,76561199039565051
0.05493164,-27.36728,15651,76561199039565051
0.05493164,-27.284882,15652,76561199039565051
0.10986328,-27.06482,15653,76561199039565051
0.1373291,-26.954956,15654,76561199039565051
0.1373291,-26.900024,15655,76561199039565051
0.1373291,-26.900024,15656,76561199039565051
0.16513062,-26.844757,15657,76561199039565051
0.19259644,-26.817291,15658,76561199039565051
0.22006226,-26.789825,15659,76561199039565051
0.22006226,-26.734894,15660,76561199039565051
0.24752808,-26.679962,15661,76561199039565051
0.30245972,-26.569748,15662,76561199039565051
0.35739136,-26.350021,15663,76561199039565051
0.41267395,-25.964813,15664,76561199039565051
0.55000305,-25.057404,15665,76561199039565051
0.55000305,-24.314804,15666,76561199039565051
0.55000305,-23.462341,15667,76561199039565051
0.55000305,-22.554932,15668,76561199039565051
0.55000305,-22.087326,15669,76561199039565051
0.55000305,-21.070068,15670,76561199039565051
0.55000305,-20.079926,15671,76561199039565051
0.55000305,-19.612305,15672,76561199039565051
0.55000305,-18.759842,15673,76561199039565051
0.4950714,-18.045044,15674,76561199039565051
0.41267395,-16.917572,15675,76561199039565051
0.38485718,-16.69751,15676,76561199039565051
0.30245972,-16.312286,15677,76561199039565051
0.30245972,-16.202423,15678,76561199039565051
0.30245972,-16.009827,15679,76561199039565051
0.30245972,-15.927429,15680,76561199039565051
0.30245972,-15.679901,15681,76561199039565051
0.30245972,-15.432358,15682,76561199039565051
0.30245972,-15.102417,15683,76561199039565051
0.30245972,-14.937286,15684,76561199039565051
0.30245972,-14.607361,15685,76561199039565051
0.30245972,-14.332352,15686,76561199039565051
0.30245972,-14.222488,15687,76561199039565051
0.30245972,-14.084808,15688,76561199039565051
0.30245972,-14.084808,15689,76561199039565051
0.30245972,-14.084808,15690,76561199039565051
0.30245972,-14.084808,15691,76561199039565051
0.30245972,-14.084808,15692,76561199039565051
0.30245972,-14.084808,15693,76561199039565051
0.30245972,-14.084808,15694,76561199039565051
0.30245972,-14.084808,15695,76561199039565051
0.30245972,-14.084808,15696,76561199039565051
0.2749939,-14.112274,15697,76561199039565051
0.24752808,-14.112274,15698,76561199039565051
0.19259644,-14.084808,15699,76561199039565051
0.10986328,-14.029877,15700,76561199039565051
0.05493164,-13.947479,15701,76561199039565051
0.0,-13.892548,15702,76561199039565051
0.0,-13.892548,15703,76561199039565051
-0.02746582,-13.864746,15704,76561199039565051
-0.02746582,-13.864746,15705,76561199039565051
-0.05493164,-13.809814,15706,76561199039565051
-0.10986328,-13.64502,15707,76561199039565051
-0.1373291,-13.562286,15708,76561199039565051
-0.1373291,-13.562286,15709,76561199039565051
-0.1373291,-13.562286,15710,76561199039565051
-0.1373291,-13.562286,15711,76561199039565051
-0.1373291,-13.562286,15712,76561199039565051
-0.1373291,-13.562286,15713,76561199039565051
-0.1373291,-13.562286,15714,76561199039565051
-0.1373291,-13.507355,15715,76561199039565051
-0.1373291,-13.479889,15716,76561199039565051
-0.1373291,-13.479889,15717,76561199039565051
-0.1373291,-13.479889,15718,76561199039565051
-0.1373291,-13.452423,15719,76561199039565051
-0.1373291,-13.424957,15720,76561199039565051
-0.1373291,-13.424957,15721,76561199039565051
-0.1373291,-13.424957,15722,76561199039565051
-0.1373291,-13.424957,15723,76561199039565051
-0.1373291,-13.424957,15724,76561199039565051
-0.1373291,-13.424957,15725,76561199039565051
-0.1373291,-13.424957,15726,76561199039565051
-0.1373291,-13.424957,15727,76561199039565051
-0.1373291,-13.424957,15728,76561199039565051
-0.1373291,-13.424957,15729,76561199039565051
-0.1373291,-13.424957,15730,76561199039565051
-0.1373291,-13.424957,15731,76561199039565051
-0.1373291,-13.424957,15732,76561199039565051
-0.1373291,-13.424957,15733,76561199039565051
-0.040161133,-13.648804,15734,76561199039565051
-0.040161133,-13.648804,15735,76561199039565051
-0.040161133,-13.648804,15736,76561199039565051
-0.040161133,-13.648804,15737,76561199039565051
-0.040161133,-13.648804,15738,76561199039565051
-0.0126953125,-13.621338,15739,76561199039565051
-0.0126953125,-13.621338,15740,76561199039565051
-0.0126953125,-13.621338,15741,76561199039565051
-0.122558594,-13.389587,15742,76561199039565051
