pitch,yaw,tick,steamid,kill_event_id,segment_number,segment_id,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,pitch_mean,pitch_std,pitch_min,pitch_max,yaw_mean,yaw_std,yaw_min,yaw_max
-3.6096954,179.70749,60766,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60767,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60768,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60769,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60770,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60771,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60772,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60773,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60774,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60775,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60776,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60777,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60778,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60779,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60780,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60781,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60782,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60783,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60784,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60785,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60786,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60787,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60788,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60789,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60790,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60791,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60792,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60793,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.70749,60794,76561199479902304,0,1,0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
