tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
80839,0.41714478,-336.49353,-77.42924,-1636.1228,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80840,0.38623047,-333.6548,-77.56828,-1636.5724,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80841,0.37078857,-330.74506,-77.69188,-1636.9196,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80842,0.35534668,-327.76965,-77.83058,-1637.1732,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80843,0.33988953,-324.734,-77.93873,-1637.3418,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80844,0.33988953,-321.6432,-77.96963,-1637.4324,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80845,0.33988953,-318.50122,-77.96963,-1637.4512,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80846,0.33988953,-315.31262,-77.96963,-1637.404,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80847,0.33988953,-312.08093,-77.96963,-1637.2964,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80848,0.33988953,-308.80975,-77.96963,-1637.133,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80849,0.33988953,-305.83557,-77.98508,-1636.9985,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80850,0.35534668,-303.39673,-78.015976,-1636.9382,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80851,0.35534668,-301.552,-78.015976,-1636.96,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80852,0.35534668,-300.1595,-78.015976,-1637.0441,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80853,0.35534668,-299.18237,-78.015976,-1637.1855,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80854,0.35534668,-298.60767,-78.015976,-1637.3765,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80855,0.35534668,-298.4317,-78.015976,-1637.5997,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80856,0.35534668,-298.6206,-78.015976,-1637.8075,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80857,0.35534668,-299.0432,-78.015976,-1638.0042,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80858,0.33988953,-299.67584,-78.046875,-1638.2218,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
