tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
111061,-0.030899048,-1709.1167,-40.954285,-671.3387,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111062,-0.030899048,-1707.2317,-40.954285,-669.15704,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111063,-0.030899048,-1705.3018,-40.954285,-666.9247,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111064,-0.030899048,-1703.488,-40.954285,-664.82684,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111065,-0.030899048,-1702.0128,-40.954285,-663.1201,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111066,-0.030899048,-1700.9271,-40.954285,-661.86316,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111067,-0.030899048,-1700.1277,-40.954285,-660.9364,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111068,-0.030899048,-1699.5925,-40.954285,-660.31445,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111069,-0.030899048,-1699.3214,-40.954285,-659.99774,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111070,-0.030899048,-1699.3214,-40.954285,-659.99774,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111071,-0.030899048,-1699.5194,-40.954285,-660.2259,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111072,-0.030899048,-1699.8489,-40.954285,-660.6056,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111073,-0.030899048,-1700.3097,-40.954285,-661.13666,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
111074,-0.030899048,-1700.9019,-40.954285,-661.81915,-167.96875,76561198380850569,huh;,0,m4a1_silencer,rifle,791.257810197186,0.29353333,0.30899048,0.0
