pitch,yaw,tick,steamid,name
13.282471,151.5698,30932,76561198312099217,MtGods
13.333282,151.64566,30933,76561198312099217,MtGods
13.358337,151.69647,30934,76561198312099217,MtGods
13.358337,151.77234,30935,76561198312099217,MtGods
13.383759,151.87363,30936,76561198312099217,MtGods
13.383759,152.10126,30937,76561198312099217,MtGods
13.383759,152.35428,30938,76561198312099217,MtGods
13.409149,152.58191,30939,76561198312099217,MtGods
13.434219,152.78445,30940,76561198312099217,MtGods
13.485031,152.96127,30941,76561198312099217,MtGods
13.535492,153.2143,30942,76561198312099217,MtGods
13.611374,153.39145,30943,76561198312099217,MtGods
13.687256,153.64447,30944,76561198312099217,MtGods
13.788528,154.04926,30945,76561198312099217,MtGods
13.940277,154.3023,30946,76561198312099217,MtGods
14.066956,154.37817,30947,76561198312099217,MtGods
14.092026,154.37817,30948,76561198312099217,MtGods
14.117432,154.37817,30949,76561198312099217,MtGods
14.142838,154.40356,30950,76561198312099217,MtGods
14.142838,154.40356,30951,76561198312099217,MtGods
14.142838,154.40356,30952,76561198312099217,MtGods
14.167908,154.35275,30953,76561198312099217,MtGods
14.294586,154.22641,30954,76561198312099217,MtGods
14.395874,154.09973,30955,76561198312099217,MtGods
14.522217,153.99878,30956,76561198312099217,MtGods
14.623489,153.948,30957,76561198312099217,MtGods
14.67395,153.89752,30958,76561198312099217,MtGods
14.724762,153.8721,30959,76561198312099217,MtGods
14.775238,153.8721,30960,76561198312099217,MtGods
14.800644,153.8721,30961,76561198312099217,MtGods
14.825714,153.8721,30962,76561198312099217,MtGods
14.851105,153.8721,30963,76561198312099217,MtGods
14.876526,153.8721,30964,76561198312099217,MtGods
14.876526,153.8721,30965,76561198312099217,MtGods
14.901581,153.84671,30966,76561198312099217,MtGods
14.952393,153.77081,30967,76561198312099217,MtGods
15.002869,153.5686,30968,76561198312099217,MtGods
15.05368,153.2143,30969,76561198312099217,MtGods
15.129547,152.6073,30970,76561198312099217,MtGods
15.25589,151.54474,30971,76561198312099217,MtGods
15.407639,150.27957,30972,76561198312099217,MtGods
15.610199,148.73633,30973,76561198312099217,MtGods
15.83783,146.7121,30974,76561198312099217,MtGods
16.09085,144.1063,30975,76561198312099217,MtGods
16.343872,140.99442,30976,76561198312099217,MtGods
16.521027,137.9584,30977,76561198312099217,MtGods
16.723251,134.29001,30978,76561198312099217,MtGods
16.900406,130.7984,30979,76561198312099217,MtGods
17.07756,127.38306,30980,76561198312099217,MtGods
17.330597,123.05682,30981,76561198312099217,MtGods
17.48233,119.691925,30982,76561198312099217,MtGods
17.634094,116.40289,30983,76561198312099217,MtGods
17.760773,112.7345,30984,76561198312099217,MtGods
17.912521,109.87564,30985,76561198312099217,MtGods
18.089676,107.16855,30986,76561198312099217,MtGods
18.2919,104.73953,30987,76561198312099217,MtGods
18.519516,102.33594,30988,76561198312099217,MtGods
18.69667,100.33746,30989,76561198312099217,MtGods
18.873825,98.617065,30990,76561198312099217,MtGods
19.05098,97.09888,30991,76561198312099217,MtGods
19.202728,96.06171,30992,76561198312099217,MtGods
19.329071,95.27756,30993,76561198312099217,MtGods
19.405289,94.79657,30994,76561198312099217,MtGods
19.48117,94.4426,30995,76561198312099217,MtGods
19.557037,94.189575,30996,76561198312099217,MtGods
19.657974,93.987,30997,76561198312099217,MtGods
19.68338,93.91113,30998,76561198312099217,MtGods
19.68338,93.86066,30999,76561198312099217,MtGods
19.68338,93.86066,31000,76561198312099217,MtGods
19.68338,93.81018,31001,76561198312099217,MtGods
19.68338,93.6835,31002,76561198312099217,MtGods
19.607513,93.354614,31003,76561198312099217,MtGods
19.506226,92.89935,31004,76561198312099217,MtGods
19.379883,92.39331,31005,76561198312099217,MtGods
19.202728,91.68469,31006,76561198312099217,MtGods
18.899231,90.36908,31007,76561198312099217,MtGods
18.69667,89.23062,31008,76561198312099217,MtGods
18.2919,87.10544,31009,76561198312099217,MtGods
17.887115,85.106964,31010,76561198312099217,MtGods
17.532806,83.05768,31011,76561198312099217,MtGods
17.128021,80.62866,31012,76561198312099217,MtGods
16.64737,77.23871,31013,76561198312099217,MtGods
16.192139,74.35443,31014,76561198312099217,MtGods
15.686066,71.470184,31015,76561198312099217,MtGods
15.180023,68.73767,31016,76561198312099217,MtGods
14.724762,66.23314,31017,76561198312099217,MtGods
14.294586,63.85495,31018,76561198312099217,MtGods
13.788528,61.122437,31019,76561198312099217,MtGods
13.409149,59.04773,31020,76561198312099217,MtGods
13.105316,57.45404,31021,76561198312099217,MtGods
12.776413,55.328857,31022,76561198312099217,MtGods
12.599258,53.8107,31023,76561198312099217,MtGods
12.44751,52.419205,31024,76561198312099217,MtGods
12.321167,51.432495,31025,76561198312099217,MtGods
12.118607,50.319443,31026,76561198312099217,MtGods
11.890991,49.180634,31027,76561198312099217,MtGods
11.663361,48.194275,31028,76561198312099217,MtGods
11.43573,47.333908,31029,76561198312099217,MtGods
11.182709,46.57483,31030,76561198312099217,MtGods
10.955078,45.99289,31031,76561198312099217,MtGods
10.777924,45.613525,31032,76561198312099217,MtGods
10.702057,45.46176,31033,76561198312099217,MtGods
10.62619,45.36049,31034,76561198312099217,MtGods
10.600769,45.310028,31035,76561198312099217,MtGods
10.600769,45.284607,31036,76561198312099217,MtGods
10.600769,45.284607,31037,76561198312099217,MtGods
10.600769,45.284607,31038,76561198312099217,MtGods
10.600769,45.284607,31039,76561198312099217,MtGods
10.575378,45.335083,31040,76561198312099217,MtGods
10.575378,45.46176,31041,76561198312099217,MtGods
10.549957,45.588104,31042,76561198312099217,MtGods
10.549957,45.689392,31043,76561198312099217,MtGods
10.549957,45.73987,31044,76561198312099217,MtGods
10.549957,45.79068,31045,76561198312099217,MtGods
10.549957,45.917023,31046,76561198312099217,MtGods
10.524902,46.094177,31047,76561198312099217,MtGods
10.499496,46.397675,31048,76561198312099217,MtGods
10.474091,46.802444,31049,76561198312099217,MtGods
10.449036,47.308502,31050,76561198312099217,MtGods
10.4236145,47.941254,31051,76561198312099217,MtGods
10.398224,48.69998,31052,76561198312099217,MtGods
10.4236145,49.534943,31053,76561198312099217,MtGods
10.474091,50.395325,31054,76561198312099217,MtGods
10.524902,51.02771,31055,76561198312099217,MtGods
10.575378,51.96396,31056,76561198312099217,MtGods
10.651245,52.67224,31057,76561198312099217,MtGods
10.727112,53.178284,31058,76561198312099217,MtGods
10.802994,53.557663,31059,76561198312099217,MtGods
10.878876,53.8107,31060,76561198312099217,MtGods
10.955078,54.013245,31061,76561198312099217,MtGods
