pitch,yaw,tick,steamid,kill_event_id,segment_number,segment_id
2.045868,144.42593,53773,76561198389634571,0,1,0_1
2.0019226,144.646,53774,76561198389634571,0,1,0_1
1.97995,145.28387,53775,76561198389634571,0,1,0_1
1.9579773,145.98804,53776,76561198389634571,0,1,0_1
1.8920593,146.582,53777,76561198389634571,0,1,0_1
1.848114,146.78009,53778,76561198389634571,0,1,0_1
1.8041687,147.08804,53779,76561198389634571,0,1,0_1
1.7378998,147.33008,53780,76561198389634571,0,1,0_1
1.7378998,147.43994,53781,76561198389634571,0,1,0_1
1.6500092,147.70398,53782,76561198389634571,0,1,0_1
1.5621185,148.0339,53783,76561198389634571,0,1,0_1
1.4299316,148.49603,53784,76561198389634571,0,1,0_1
1.3640137,148.69412,53785,76561198389634571,0,1,0_1
1.2098694,149.31003,53786,76561198389634571,0,1,0_1
1.0780334,149.94794,53787,76561198389634571,0,1,0_1
1.0121155,150.10208,53788,76561198389634571,0,1,0_1
0.9458618,150.25623,53789,76561198389634571,0,1,0_1
0.87994385,150.18997,53790,76561198389634571,0,1,0_1
0.72613525,149.88202,53791,76561198389634571,0,1,0_1
0.59394836,149.39792,53792,76561198389634571,0,1,0_1
0.5719757,149.26608,53793,76561198389634571,0,1,0_1
0.5280304,149.04602,53794,76561198389634571,0,1,0_1
0.5280304,149.02405,53795,76561198389634571,0,1,0_1
0.5280304,149.00208,53796,76561198389634571,0,1,0_1
0.5280304,148.9801,53797,76561198389634571,0,1,0_1
0.5280304,148.9801,53798,76561198389634571,0,1,0_1
0.5280304,148.9801,53799,76561198389634571,0,1,0_1
0.5280304,148.9801,53800,76561198389634571,0,1,0_1
0.50605774,148.9801,53801,76561198389634571,0,1,0_1
0.48408508,149.02405,53802,76561198389634571,0,1,0_1
0.4181671,149.08997,53803,76561198389634571,0,1,0_1
0.3958435,149.13425,53804,76561198389634571,0,1,0_1
0.32992554,149.24411,53805,76561198389634571,0,2,0_2
0.24203491,149.42023,53806,76561198389634571,0,2,0_2
0.15414429,149.66193,53807,76561198389634571,0,2,0_2
0.06591797,149.97025,53808,76561198389634571,0,2,0_2
0.043945312,150.10208,53809,76561198389634571,0,2,0_2
0.0,150.36609,53810,76561198389634571,0,2,0_2
-0.021972656,150.56421,53811,76561198389634571,0,2,0_2
-0.021972656,150.67407,53812,76561198389634571,0,2,0_2
-0.021972656,150.71802,53813,76561198389634571,0,2,0_2
-0.043945312,150.80624,53814,76561198389634571,0,2,0_2
-0.043945312,150.85019,53815,76561198389634571,0,2,0_2
-0.043945312,150.87216,53816,76561198389634571,0,2,0_2
-0.043945312,150.87216,53817,76561198389634571,0,2,0_2
-0.043945312,150.87216,53818,76561198389634571,0,2,0_2
-0.043945312,150.87216,53819,76561198389634571,0,2,0_2
-0.043945312,150.87216,53820,76561198389634571,0,2,0_2
-0.043945312,150.87216,53821,76561198389634571,0,2,0_2
-0.043945312,150.87216,53822,76561198389634571,0,2,0_2
-0.043945312,150.87216,53823,76561198389634571,0,2,0_2
-0.043945312,150.87216,53824,76561198389634571,0,2,0_2
-0.043945312,150.85019,53825,76561198389634571,0,2,0_2
