pitch,yaw,tick,steamid,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range
-0.6876831,48.270844,7420,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-4.8137817,337.895908,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
-0.6876831,48.270844,7430,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-11.690612699999996,820.6043480000001,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
-0.6876831,48.270844,7434,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-14.441345099999992,1013.6877240000001,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
-0.6876831,48.270844,7435,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-15.129028199999992,1061.958568,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
-0.6876831,48.270844,7436,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-15.81671129999999,1110.229412,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
-0.6876831,48.270844,7440,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-18.567443699999995,1303.3127879999995,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
-0.6876831,48.270844,7449,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-24.756591600000004,1737.7503839999986,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
-0.6876831,48.270844,7450,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-25.444274700000005,1786.0212279999985,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
-0.6876831,48.270844,7451,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-26.131957800000006,1834.2920719999984,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
-0.6876831,48.270844,7460,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-32.32110570000001,2268.7296679999986,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
-0.6876831,48.270844,7466,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-36.44720430000002,2558.3547319999993,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
-0.6876831,48.270844,7481,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,-46.76245080000003,3282.417392000001,-0.9414838063576159,0.6757875217296103,-12.400131,-0.36013794,12.03999306,52.37092320198677,2.549345164371454,48.26706,53.95352,5.686459999999997
