pitch,yaw,tick,steamid,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range
0.0,0.0,327,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,331,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,335,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,348,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,356,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,372,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,373,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,380,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,386,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,398,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,402,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,403,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,404,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,405,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,406,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,410,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,425,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,426,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,437,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,438,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,439,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,464,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,473,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,474,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,475,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,479,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,483,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,484,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,495,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,496,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,502,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,516,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,520,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,545,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,547,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,548,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,549,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,550,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
0.0,0.0,604,76561199847502271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004880683388704319,0.07120860484451762,-1.2084961,0.0,1.2084961,0.15483169235880398,2.4216856966283697,0.0,41.74942,41.74942
