tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
6030,2.0908356,-108.01355,-65.52109,-648.0722,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6031,2.1859436,-109.42755,-64.47567,-651.5454,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6032,2.312622,-110.818726,-62.70172,-655.02783,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6033,2.3761292,-112.18036,-61.054115,-658.5219,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6034,2.4393005,-113.503296,-58.86818,-662.0308,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6035,2.5028229,-114.77643,-56.143913,-665.5581,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6036,2.5028229,-115.99457,-54.36962,-669.10474,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6037,2.5344086,-117.14746,-51.61377,-672.6731,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6038,2.5659943,-118.227295,-49.110947,-676.2643,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6039,2.5659943,-119.048035,-47.083282,-679.81165,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6040,2.5659943,-119.576355,-44.834167,-683.2993,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6041,2.5659943,-119.803894,-43.123398,-686.7193,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6042,2.5659943,-119.770935,-41.381042,-690.07465,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6043,2.5659943,-119.49304,-39.796936,-693.3635,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6044,2.597931,-118.98389,-38.086166,-696.5839,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
