tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
60697,0.8236389,-170.349,-67.749596,-788.9605,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60698,0.8236389,-169.68646,-67.749596,-790.66437,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60699,0.8236389,-169.02167,-67.749596,-792.3673,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60700,0.8236389,-168.35461,-67.749596,-794.0694,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60701,0.8236389,-167.6853,-67.749596,-795.77057,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60702,0.8236389,-167.01428,-67.749596,-797.47107,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60703,0.8236389,-166.34143,-67.749596,-799.17084,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60704,0.8236389,-165.66687,-67.749596,-800.86993,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60705,0.8236389,-164.99078,-67.749596,-802.5685,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60706,0.8236389,-164.31342,-67.749596,-804.2665,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60707,0.8236389,-163.63477,-67.749596,-805.964,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60708,0.8236389,-162.95514,-67.749596,-807.6611,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60709,0.8236389,-162.2746,-67.749596,-809.3578,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60710,0.8236389,-161.59314,-67.749596,-811.05414,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60711,0.8236389,-160.91089,-67.749596,-812.7502,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60712,0.8236389,-160.22778,-67.749596,-814.44586,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60713,0.8236389,-159.5437,-67.749596,-816.1412,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60714,0.8236389,-158.85864,-67.749596,-817.8361,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60715,0.8236389,-158.17328,-67.749596,-819.5309,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60716,0.8236389,-157.4873,-67.749596,-821.22546,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60717,0.7920532,-156.80121,-67.844696,-822.92,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60718,0.7920532,-156.11499,-67.9398,-824.61444,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60719,0.9187317,-155.42896,-68.0349,-826.30896,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60720,0.9503174,-154.74341,-68.06648,-828.00366,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
