tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
25516,9.313995,585.445,-98.13297,235.04369,-594.1144,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25517,9.313995,585.1354,-98.13297,233.32448,-594.66895,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25518,9.313995,584.8306,-98.13297,231.60439,-595.2238,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25519,9.313995,584.5304,-98.13297,229.8835,-595.77893,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25520,9.313995,584.2347,-98.13297,228.16183,-596.33435,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25521,9.313995,583.94293,-98.13297,226.4395,-596.8899,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25522,9.313995,583.65515,-98.00629,224.71649,-597.44574,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25523,9.250488,583.3231,-97.34093,223.01564,-597.9944,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25524,9.092224,582.88495,-95.15499,221.34201,-598.5343,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25525,9.12381,582.3323,-92.398796,219.69162,-599.06665,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25526,9.282074,581.62604,-88.4705,217.96603,-599.6233,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25527,9.757568,580.79346,-84.51061,216.15768,-600.20667,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25528,10.200806,579.8532,-82.35626,214.26678,-600.8166,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
