tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
21110,-0.4751587,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21111,-0.4751587,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21112,-0.4751587,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21113,-0.4751587,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21114,-0.4751587,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21115,-0.4751587,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21116,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21117,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21118,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21119,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21120,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21121,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21122,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21123,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21124,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
