tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
41637,-0.12667847,65.986916,-83.18092,59.057045,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41638,-0.12667847,65.39696,-83.14934,57.34657,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41639,-0.12667847,65.031395,-83.14934,55.60155,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41640,-0.12667847,65.052444,-83.14934,53.825127,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41641,-0.12667847,65.09297,-83.08617,52.01957,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41642,-0.12667847,65.15123,-82.95948,50.19237,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41643,-0.12667847,65.22399,-82.83245,48.365696,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41644,-0.12667847,65.31052,-82.67418,46.53962,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41645,-0.12667847,65.409706,-82.61101,44.714188,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41646,-0.12667847,65.52044,-82.61101,42.88942,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41647,-0.12667847,65.641396,-82.61101,41.0653,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41648,-0.12667847,65.77176,-82.61101,39.24183,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41649,-0.12667847,65.91058,-82.61101,37.418983,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41650,-0.12667847,66.05743,-82.61101,35.596767,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41651,-0.12667847,66.21155,-82.57908,33.77515,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41652,-0.12667847,66.366714,-82.57908,31.984232,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41653,-0.12667847,66.50963,-82.57908,30.335981,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41654,-0.12667847,66.63815,-82.57908,28.852652,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41655,-0.12667847,66.75636,-82.57908,27.489998,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41656,-0.12667847,66.86515,-82.57908,26.238152,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41657,-0.12667847,66.964966,-82.57908,25.088139,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41658,-0.15826416,67.05604,-82.57908,24.03917,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41659,-0.15826416,67.13832,-82.57908,23.091274,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41660,-0.15826416,67.211815,-82.54749,22.244455,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41661,-0.2533722,67.27652,-82.35729,21.49871,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41662,-0.28530884,67.33244,-82.32571,20.85404,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41663,-0.28530884,67.37958,-82.29412,20.310446,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41664,-0.28530884,67.41793,-82.29412,19.867926,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41665,-0.28530884,67.4475,-82.29412,19.526482,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41666,-0.28530884,67.46829,-82.29412,19.286112,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41667,-0.28530884,67.480316,-82.262535,19.146818,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41668,-0.28530884,67.49092,-82.262535,19.045399,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41669,-0.31689453,67.51104,-82.262535,18.893177,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41670,-0.31689453,67.54391,-82.230606,18.650723,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41671,-0.31689453,67.586784,-82.230606,18.335968,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41672,-0.31689453,67.63944,-82.230606,17.94895,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41673,-0.31689453,67.70188,-82.230606,17.489668,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41674,-0.31689453,67.77409,-82.230606,16.958122,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41675,-0.31689453,67.85608,-82.230606,16.354311,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41676,-0.31689453,67.94783,-82.230606,15.678234,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41677,-0.31689453,68.049355,-82.230606,14.929892,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41678,-0.31689453,68.160645,-82.230606,14.109283,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41679,-0.31689453,68.2817,-82.230606,13.21641,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41680,-0.31689453,68.41252,-82.230606,12.25127,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41681,-0.31689453,68.553116,-82.230606,11.213865,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41682,-0.31689453,68.703476,-82.230606,10.104195,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41683,-0.31689453,68.8636,-82.230606,8.922258,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41684,-0.31689453,69.03349,-82.230606,7.6680565,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41685,-0.31689453,69.21298,-82.230606,6.342843,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41686,-0.31689453,69.40144,-82.230606,4.9521327,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41687,-0.31689453,69.59798,-82.230606,3.5013084,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41688,-0.31689453,69.80214,-82.230606,1.9953054,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41689,-0.31689453,70.01348,-82.230606,0.43860948,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41690,-0.31689453,70.2311,-82.230606,-1.1647339,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41691,-0.31689453,70.45456,-82.230606,-2.81073,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41692,-0.31689453,70.683395,-82.230606,-4.4957275,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41693,-0.31689453,70.91717,-82.230606,-6.216614,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41694,-0.31689453,71.155426,-82.230606,-7.970703,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41695,-0.34848022,71.39772,-82.230606,-9.755249,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41696,-0.34848022,71.64393,-82.230606,-11.566772,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41697,-0.34848022,71.89035,-82.230606,-13.378174,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41698,-0.34848022,72.13677,-82.230606,-15.189636,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41699,-0.34848022,72.383194,-82.230606,-17.001038,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41700,-0.38006592,72.629616,-82.230606,-18.8125,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41701,-0.38006592,72.87604,-82.230606,-20.623962,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41702,-0.38006592,73.12246,-82.230606,-22.435364,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41703,-0.38006592,73.36888,-82.230606,-24.246826,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41704,-0.38006592,73.6153,-82.230606,-26.058289,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41705,-0.38006592,73.861725,-82.230606,-27.86969,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41706,-0.38006592,74.10815,-82.230606,-29.681152,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41707,-0.38006592,74.35457,-82.230606,-31.492554,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41708,-0.38006592,74.60099,-82.230606,-33.304016,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41709,-0.38006592,74.84741,-82.230606,-35.11548,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41710,-0.38006592,75.093834,-82.230606,-36.92688,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41711,-0.38006592,75.340256,-82.230606,-38.738342,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41712,-0.38006592,75.58668,-82.230606,-40.549805,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41713,-0.38006592,75.8331,-82.230606,-42.361206,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41714,-0.38006592,76.07952,-82.230606,-44.17267,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41715,-0.38006592,76.32594,-82.230606,-45.98407,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41716,-0.38006592,76.572365,-82.230606,-47.795532,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41717,-0.38006592,76.81879,-82.230606,-49.606995,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41718,-0.38006592,77.06521,-82.230606,-51.418396,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41719,-0.38006592,77.31163,-82.230606,-53.22986,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41720,-0.38006592,77.55805,-82.230606,-55.04132,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41721,-0.38006592,77.804474,-82.230606,-56.852722,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41722,-0.38006592,78.050896,-82.230606,-58.664185,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41723,-0.38006592,78.29732,-82.230606,-60.475586,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41724,-0.38006592,78.54374,-82.230606,-62.28705,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41725,-0.38006592,78.79016,-82.230606,-64.09851,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41726,-0.38006592,79.03658,-82.230606,-65.90991,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41727,-0.38006592,79.283005,-82.230606,-67.721375,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41728,-0.38006592,79.52943,-82.230606,-69.53284,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41729,-0.38006592,79.77585,-82.230606,-71.34424,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41730,-0.38006592,80.02227,-82.230606,-73.1557,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41731,-0.38006592,80.26869,-82.230606,-74.96716,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41732,-0.38006592,80.515114,-82.230606,-76.778564,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41733,-0.38006592,80.761536,-82.230606,-78.59003,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41734,-0.38006592,81.00796,-82.230606,-80.40143,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41735,-0.38006592,81.25438,-82.230606,-82.21289,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41736,-0.38006592,81.5008,-82.230606,-84.02435,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41737,-0.38006592,81.74722,-82.230606,-85.835754,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41738,-0.38006592,81.993645,-82.230606,-87.64722,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41739,-0.38006592,82.24007,-82.230606,-89.45862,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41740,-0.38006592,82.48649,-82.230606,-91.27008,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41741,-0.38006592,82.73291,-82.230606,-93.08154,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41742,-0.38006592,82.97933,-82.230606,-94.892944,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41743,-0.38006592,83.22575,-82.230606,-96.70441,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41744,-0.38006592,83.472176,-82.230606,-98.51587,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41745,-0.38006592,83.7186,-82.230606,-100.32727,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41746,-0.38006592,83.96502,-82.230606,-102.13873,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41747,-0.38006592,84.21144,-82.230606,-103.950195,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41748,-0.38006592,84.45786,-82.230606,-105.7616,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41749,-0.38006592,84.704285,-82.230606,-107.57306,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41750,-0.38006592,84.95071,-82.230606,-109.38446,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41751,-0.38006592,85.19713,-82.230606,-111.19592,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41752,-0.38006592,85.44355,-82.230606,-113.007385,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41753,-0.38006592,85.68997,-82.230606,-114.81879,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41754,-0.38006592,85.93639,-82.230606,-116.63025,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41755,-0.38006592,86.182816,-82.230606,-118.44165,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41756,-0.38006592,86.42924,-82.230606,-120.25311,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41757,-0.38006592,86.67566,-82.230606,-122.064575,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
