tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
64013,6.7480164,428.3159,152.986,-1240.5737,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64014,6.9697876,425.9816,155.2351,-1241.2034,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64015,7.318268,423.56015,158.59314,-1241.9028,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64016,7.6983337,421.0668,162.29965,-1242.6841,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64017,7.9836273,418.50366,165.8479,-1243.3906,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64018,8.110321,415.85406,168.57214,-1243.9791,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64019,8.141907,413.1098,170.75809,-1244.4552,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64020,8.173492,410.289,172.27902,-1244.8522,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64021,8.2369995,407.3972,173.92627,-1245.1852,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64022,8.395264,404.43918,175.32016,-1245.4663,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64023,8.58548,401.42017,176.49228,-1245.706,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64024,8.712158,398.38147,177.09412,-1245.9813,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64025,8.712158,395.36496,177.09412,-1246.433,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64026,8.712158,392.37442,177.09412,-1247.0892,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64027,8.712158,389.4027,177.09412,-1247.8949,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64028,8.712158,386.44806,177.09412,-1248.8379,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64029,8.712158,383.5091,177.09412,-1249.9069,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
