tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
148806,10.518036,559.37427,11.638641,-1111.5338,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148807,10.296249,562.7681,9.5793915,-1109.9387,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148808,10.137634,566.20026,8.502045,-1108.4277,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148809,10.137634,569.6664,8.121979,-1106.9965,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148810,10.137634,573.1622,8.058807,-1105.6392,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148811,10.137634,576.68384,8.026886,-1104.3506,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148812,10.137634,580.22815,7.9953003,-1103.1257,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148813,10.137634,583.40326,7.931793,-1102.0284,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148814,10.106049,586.5968,7.4566345,-1100.986,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148815,10.074463,589.80786,6.411209,-1099.9988,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148816,10.042877,593.03625,4.9222107,-1099.0698,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148817,10.042877,596.2826,2.5464172,-1098.2057,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148818,10.106049,599.54816,-0.811615,-1097.4174,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148819,10.042877,602.83344,-4.3598633,-1096.7156,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148820,9.757568,606.13727,-7.242737,-1096.1073,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148821,9.440689,609.4575,-9.4921875,-1095.5962,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148822,9.28241,612.79114,-10.8541565,-1095.1812,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148823,9.218903,616.135,-11.7413025,-1094.8585,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148824,9.187317,619.4863,-12.818298,-1094.6265,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148825,9.187317,622.8424,-12.818298,-1094.4774,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148826,9.472626,626.2014,-17.316864,-1094.4263,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
