tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
97692,-0.9503174,166.02359,-55.76145,-908.36395,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97693,-0.9503174,168.44545,-55.76145,-910.6683,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97694,-0.9503174,170.83276,-55.76145,-913.0242,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97695,-0.9503174,173.18459,-55.76145,-915.423,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97696,-0.9503174,175.49983,-55.76145,-917.8571,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97697,-0.9503174,177.78096,-55.76145,-920.32324,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97698,-0.9503174,180.03056,-55.76145,-922.8182,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97699,-0.9503174,182.25113,-55.76145,-925.339,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97700,-0.9503174,184.4449,-55.76145,-927.88165,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97701,-0.9503174,186.40837,-55.76145,-930.5007,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97702,-0.9503174,188.13927,-55.76145,-933.1967,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97703,-0.9503174,189.67546,-55.76145,-935.95734,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97704,-0.9503174,191.03311,-55.76145,-938.77716,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97705,-0.9503174,192.22656,-55.76145,-941.65173,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97706,-0.9503174,193.26929,-55.76145,-944.57654,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97707,-0.9503174,194.17339,-55.76145,-947.5471,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97708,-0.9503174,195.13065,-55.76145,-950.52045,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
