tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
31024,-25.153885,1146.3844,-175.4956,-440.27374,-209.17188,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31025,-23.79158,1146.3844,-175.5907,-440.2854,-208.09375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31026,-22.23941,1146.3844,-175.74898,-440.29675,-207.01562,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31027,-20.909042,1146.3844,-175.9076,-440.3078,-205.9375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31028,-19.514801,1146.3844,-176.03427,-440.3186,-204.89062,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31029,-18.40622,1146.3844,-176.09744,-440.32935,-203.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31030,-17.455902,1146.3844,-176.09744,-440.3401,-202.79688,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31031,-16.853714,1146.3844,-176.12938,-440.35083,-201.76562,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31032,-16.410141,1146.3844,-176.16096,-440.36145,-200.73438,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31033,-16.315384,1146.3844,-176.16096,-440.37207,-199.71875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31034,-16.315384,1146.3844,-176.16096,-440.38275,-198.6875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31035,-16.315384,1146.3844,-176.16096,-440.39343,-197.65625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31036,-16.315384,1146.3844,-176.16096,-440.40405,-196.64062,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31037,-16.315384,1146.3844,-176.16096,-440.41467,-195.60938,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31038,-16.315384,1146.3844,-176.16096,-440.42535,-194.57812,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31039,-16.315384,1146.3844,-176.16096,-440.43604,-193.5625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
