tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
127845,1.2150269,776.21454,-127.47814,-946.4782,-413.60046,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127846,1.2150269,777.6441,-127.69993,-947.61774,-413.8756,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127847,1.2150269,779.07465,-127.9533,-948.756,-414.8899,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127848,1.2150269,780.5055,-128.2386,-949.89386,-415.1789,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127849,1.2150269,781.9364,-128.42847,-951.0316,-415.46783,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127850,1.2150269,783.3672,-128.52356,-952.16956,-415.75684,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127851,1.2150269,784.7979,-128.55515,-953.30756,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127852,1.2150269,786.2285,-128.61865,-954.4457,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127853,1.1834412,787.65875,-128.74535,-955.5843,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127854,1.1834412,789.07263,-128.90363,-956.7366,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127855,1.1834412,790.39154,-129.15698,-957.9671,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127856,1.1518555,791.60016,-129.44229,-959.28815,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127857,1.1518555,792.72705,-129.63214,-960.67566,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127858,1.1518555,793.7781,-129.79077,-962.1242,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127859,1.1518555,794.75934,-129.85394,-963.62885,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127860,1.1518555,795.67645,-129.85394,-965.1851,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127861,1.1518555,796.53485,-129.85394,-966.78894,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127862,1.1518555,797.3368,-129.85394,-968.4318,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127863,1.1518555,798.0829,-129.85394,-970.10077,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127864,1.1518555,798.7776,-129.88553,-971.79175,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127865,1.1518555,799.4245,-129.91745,-973.5016,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127866,1.1518555,800.02734,-129.98062,-975.2274,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127867,1.1518555,800.5896,-130.1073,-976.9669,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127868,1.1834412,801.114,-130.36069,-978.7182,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127869,1.2466125,801.60297,-130.77267,-980.47974,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127870,1.3417053,802.05786,-131.31134,-982.25037,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127871,1.4367981,802.54663,-131.94476,-984.0107,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127872,1.5319061,803.1228,-132.51503,-985.7452,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127873,1.5950775,803.79395,-132.99019,-987.4456,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127874,1.6585999,804.5326,-133.52887,-989.11786,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127875,1.6901855,805.33057,-133.97244,-990.76263,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127876,1.6901855,806.1811,-134.25739,-992.38086,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127877,1.6901855,807.078,-134.41566,-993.9739,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127878,1.6901855,808.0163,-134.47919,-995.54285,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127879,1.6901855,808.9916,-134.51077,-997.0891,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127880,1.6901855,810.00006,-134.54236,-998.6139,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127881,1.7221069,811.0379,-134.70096,-1000.11884,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127882,1.7852783,812.10065,-135.2077,-1001.6063,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127883,1.8487854,813.1839,-135.68286,-1003.0789,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127884,1.9438934,814.2839,-136.28471,-1004.53906,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127885,1.9754791,815.39764,-136.66512,-1005.9887,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127886,1.9754791,816.5235,-136.95007,-1007.429,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127887,2.0070648,817.65967,-137.10834,-1008.8612,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127888,2.0070648,818.8045,-137.33014,-1010.2865,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127889,2.0386505,819.9568,-137.64702,-1011.70575,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127890,2.0705872,821.115,-137.99548,-1013.1202,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127891,2.0705872,822.2779,-138.31204,-1014.5307,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127892,2.0705872,823.4449,-138.47064,-1015.93787,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127893,2.0705872,824.61584,-138.47064,-1017.34174,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127894,2.0705872,825.7902,-138.47064,-1018.7428,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
