tick,pitch,yaw,steamid,label,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range
32021,1.1978455,-19.077423,76561198900166541,1,0.0,0.0,0.0,0.0,0.0,0.0,4.791382,-76.309692,0.737271171155,1.4572808367087071,-2.6796265,4.6626587,7.342285199999999,21.10209806766667,47.60393431129659,-86.64471,95.27515,181.91986
32022,1.1978455,-19.077423,76561198900166541,1,0.0,0.0,0.0,0.0,0.0,0.0,5.989227499999999,-95.387115,0.737271171155,1.4572808367087071,-2.6796265,4.6626587,7.342285199999999,21.10209806766667,47.60393431129659,-86.64471,95.27515,181.91986
32023,1.1978455,-19.077423,76561198900166541,1,0.0,0.0,0.0,0.0,0.0,0.0,7.187072999999999,-114.46453799999999,0.737271171155,1.4572808367087071,-2.6796265,4.6626587,7.342285199999999,21.10209806766667,47.60393431129659,-86.64471,95.27515,181.91986
32024,1.1978455,-19.077423,76561198900166541,1,0.0,0.0,0.0,0.0,0.0,0.0,8.3849185,-133.541961,0.737271171155,1.4572808367087071,-2.6796265,4.6626587,7.342285199999999,21.10209806766667,47.60393431129659,-86.64471,95.27515,181.91986
32025,1.1978455,-19.077423,76561198900166541,1,0.0,0.0,0.0,0.0,0.0,0.0,9.582764,-152.619384,0.737271171155,1.4572808367087071,-2.6796265,4.6626587,7.342285199999999,21.10209806766667,47.60393431129659,-86.64471,95.27515,181.91986
32026,1.1978455,-19.077423,76561198900166541,1,0.0,0.0,0.0,0.0,0.0,0.0,10.780609499999999,-171.696807,0.737271171155,1.4572808367087071,-2.6796265,4.6626587,7.342285199999999,21.10209806766667,47.60393431129659,-86.64471,95.27515,181.91986
32027,1.1978455,-19.077423,76561198900166541,1,0.0,0.0,0.0,0.0,0.0,0.0,11.978454999999999,-190.77423000000002,0.737271171155,1.4572808367087071,-2.6796265,4.6626587,7.342285199999999,21.10209806766667,47.60393431129659,-86.64471,95.27515,181.91986
32028,1.1978455,-19.077423,76561198900166541,1,0.0,0.0,0.0,0.0,0.0,0.0,13.176300499999998,-209.85165300000003,0.737271171155,1.4572808367087071,-2.6796265,4.6626587,7.342285199999999,21.10209806766667,47.60393431129659,-86.64471,95.27515,181.91986
32029,1.1978455,-19.077423,76561198900166541,1,0.0,0.0,0.0,0.0,0.0,0.0,14.374145999999998,-228.92907600000004,0.737271171155,1.4572808367087071,-2.6796265,4.6626587,7.342285199999999,21.10209806766667,47.60393431129659,-86.64471,95.27515,181.91986
32030,1.2253113,-19.104889,76561198900166541,1,0.027465800000000096,-0.027466000000000435,0.027465800000000096,-0.027466000000000435,0.027465800000000096,-0.027466000000000435,15.599457299999997,-248.03396500000002,0.737271171155,1.4572808367087071,-2.6796265,4.6626587,7.342285199999999,21.10209806766667,47.60393431129659,-86.64471,95.27515,181.91986
