tick,pitch,yaw,steamid,label,weapon_name,weapon_type,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis
6539,-5.138855,53.021057,76561199038314474,1,ssg08,rifle,0.0,0.0,0.0,-0.017516999999998006,0.017516999999999783,-0.03503399999999601,-51.511169,529.8232479999999,0.0,-1.0,0.0,1,6.0,0.02968585575207786,0.008461514882100054,52.9823248,-5.1511169,0,0,2.730926209626667,4.972270728894399,-5.156372,11.539429,16.695801,0.025348549667876915,-1.2398821358234196,25.121347317666668,42.43196324948008,-68.72429,56.875534,125.599824,-1.3217934267184088,0.17506227861857093,0.02352624581939799,0.31020106305038997,-0.8713533,1.46496582,2.3363191199999997,1.3021192023895147,5.695526758616662,-0.0659650836120401,2.4451062482908363,-12.038269,12.157394000000002,24.195663000000003,0.7034169212275748,12.129635698358385,0.9891563599323072,2.257870008038604,0.0,12.207866092726446,12.207866092726446,3.283295593544998,10.938137040199464
6540,-5.121338,53.021057,76561199038314474,1,ssg08,rifle,0.01751700000000067,0.0,0.01751700000000067,0.0,0.01751700000000067,0.017516999999998006,-56.632507000000004,582.844305,0.01751700000000067,0.0,1.0,1,7.0,0.029690953097420265,0.012386389486045177,52.9893635,-5.1476135,0,0,2.730926209626667,4.972270728894399,-5.156372,11.539429,16.695801,0.025348549667876915,-1.2398821358234196,25.121347317666668,42.43196324948008,-68.72429,56.875534,125.599824,-1.3217934267184088,0.17506227861857093,0.02352624581939799,0.31020106305038997,-0.8713533,1.46496582,2.3363191199999997,1.3021192023895147,5.695526758616662,-0.0659650836120401,2.4451062482908363,-12.038269,12.157394000000002,24.195663000000003,0.7034169212275748,12.129635698358385,0.9891563599323072,2.257870008038604,0.0,12.207866092726446,12.207866092726446,3.283295593544998,10.938137040199464
6541,-5.0684814,52.95067,76561199038314474,1,ssg08,rifle,0.05285660000000014,-0.07038699999999665,0.03533959999999947,-0.07038699999999665,0.0178225999999988,-0.07038699999999665,-61.7009884,635.794975,0.08802357600415665,-1.0,1.0,1,8.0,0.029690953097420265,0.027474242425759014,52.9893635,-5.13882444,0,0,2.730926209626667,4.972270728894399,-5.156372,11.539429,16.695801,0.025348549667876915,-1.2398821358234196,25.121347317666668,42.43196324948008,-68.72429,56.875534,125.599824,-1.3217934267184088,0.17506227861857093,0.02352624581939799,0.31020106305038997,-0.8713533,1.46496582,2.3363191199999997,1.3021192023895147,5.695526758616662,-0.0659650836120401,2.4451062482908363,-12.038269,12.157394000000002,24.195663000000003,0.7034169212275748,12.129635698358385,0.9891563599323072,2.257870008038604,0.0,12.207866092726446,12.207866092726446,3.283295593544998,10.938137040199464
6542,-4.98024,52.809906,76561199038314474,1,ssg08,rifle,0.08824139999999936,-0.14076400000000433,0.03538479999999922,-0.07037700000000768,4.5199999999745444e-05,9.999999988963282e-06,-66.6812284,688.604881,0.16613563245120266,-1.0,1.0,0,8.0,0.06382295934579792,0.056305087176505446,52.9752871,-5.12121124,1,0,2.730926209626667,4.972270728894399,-5.156372,11.539429,16.695801,0.025348549667876915,-1.2398821358234196,25.121347317666668,42.43196324948008,-68.72429,56.875534,125.599824,-1.3217934267184088,0.17506227861857093,0.02352624581939799,0.31020106305038997,-0.8713533,1.46496582,2.3363191199999997,1.3021192023895147,5.695526758616662,-0.0659650836120401,2.4451062482908363,-12.038269,12.157394000000002,24.195663000000003,0.7034169212275748,12.129635698358385,0.9891563599323072,2.257870008038604,0.0,12.207866092726446,12.207866092726446,3.283295593544998,10.938137040199464
6543,-4.927704,52.72168,76561199038314474,1,ssg08,rifle,0.052535999999999916,-0.0882259999999988,-0.03570539999999944,0.052538000000005525,-0.07109019999999866,0.12291500000001321,-71.6089324,741.326561,0.10268329159118235,1.0,-1.0,1,9.0,0.10280901862995838,0.08131709745313617,52.95238809999999,-5.09834444,0,1,2.730926209626667,4.972270728894399,-5.156372,11.539429,16.695801,0.025348549667876915,-1.2398821358234196,25.121347317666668,42.43196324948008,-68.72429,56.875534,125.599824,-1.3217934267184088,0.17506227861857093,0.02352624581939799,0.31020106305038997,-0.8713533,1.46496582,2.3363191199999997,1.3021192023895147,5.695526758616662,-0.0659650836120401,2.4451062482908363,-12.038269,12.157394000000002,24.195663000000003,0.7034169212275748,12.129635698358385,0.9891563599323072,2.257870008038604,0.0,12.207866092726446,12.207866092726446,3.283295593544998,10.938137040199464
6544,-4.8748474,52.616272,76561199038314474,1,ssg08,rifle,0.05285660000000014,-0.10540799999999706,0.00032060000000022626,-0.017181999999998254,0.03602599999999967,-0.06972000000000378,-76.48377980000001,793.942833,0.11791805047387527,-1.0,1.0,1,9.0,0.1465703170345177,0.10444049457972518,52.915446599999996,-5.07019198,1,0,2.730926209626667,4.972270728894399,-5.156372,11.539429,16.695801,0.025348549667876915,-1.2398821358234196,25.121347317666668,42.43196324948008,-68.72429,56.875534,125.599824,-1.3217934267184088,0.17506227861857093,0.02352624581939799,0.31020106305038997,-0.8713533,1.46496582,2.3363191199999997,1.3021192023895147,5.695526758616662,-0.0659650836120401,2.4451062482908363,-12.038269,12.157394000000002,24.195663000000003,0.7034169212275748,12.129635698358385,0.9891563599323072,2.257870008038604,0.0,12.207866092726446,12.207866092726446,3.283295593544998,10.938137040199464
6545,-4.8748474,52.616272,76561199038314474,1,ssg08,rifle,0.0,0.0,-0.05285660000000014,0.10540799999999706,-0.05317720000000037,0.12258999999999531,-81.3586272,846.5591049999999,0.0,1.0,-1.0,1,9.0,0.17135755464035124,0.11593928066984945,52.878505100000005,-5.04203952,0,0,2.730926209626667,4.972270728894399,-5.156372,11.539429,16.695801,0.025348549667876915,-1.2398821358234196,25.121347317666668,42.43196324948008,-68.72429,56.875534,125.599824,-1.3217934267184088,0.17506227861857093,0.02352624581939799,0.31020106305038997,-0.8713533,1.46496582,2.3363191199999997,1.3021192023895147,5.695526758616662,-0.0659650836120401,2.4451062482908363,-12.038269,12.157394000000002,24.195663000000003,0.7034169212275748,12.129635698358385,0.9891563599323072,2.257870008038604,0.0,12.207866092726446,12.207866092726446,3.283295593544998,10.938137040199464
6546,-4.8748474,52.616272,76561199038314474,1,ssg08,rifle,0.0,0.0,0.0,0.0,0.05285660000000014,-0.10540799999999706,-86.2334746,899.1753769999999,0.0,0.0,0.0,1,9.0,0.1833047025904885,0.11922571040155898,52.8397783,-5.01388706,0,0,2.730926209626667,4.972270728894399,-5.156372,11.539429,16.695801,0.025348549667876915,-1.2398821358234196,25.121347317666668,42.43196324948008,-68.72429,56.875534,125.599824,-1.3217934267184088,0.17506227861857093,0.02352624581939799,0.31020106305038997,-0.8713533,1.46496582,2.3363191199999997,1.3021192023895147,5.695526758616662,-0.0659650836120401,2.4451062482908363,-12.038269,12.157394000000002,24.195663000000003,0.7034169212275748,12.129635698358385,0.9891563599323072,2.257870008038604,0.0,12.207866092726446,12.207866092726446,3.283295593544998,10.938137040199464
6547,-4.8748474,52.616272,76561199038314474,1,ssg08,rifle,0.0,0.0,0.0,0.0,0.0,0.0,-91.10832199999999,951.7916489999999,0.0,0.0,0.0,0,8.0,0.18575522941539194,0.11769922586647343,52.80105150000001,-4.9874863,0,0,2.730926209626667,4.972270728894399,-5.156372,11.539429,16.695801,0.025348549667876915,-1.2398821358234196,25.121347317666668,42.43196324948008,-68.72429,56.875534,125.599824,-1.3217934267184088,0.17506227861857093,0.02352624581939799,0.31020106305038997,-0.8713533,1.46496582,2.3363191199999997,1.3021192023895147,5.695526758616662,-0.0659650836120401,2.4451062482908363,-12.038269,12.157394000000002,24.195663000000003,0.7034169212275748,12.129635698358385,0.9891563599323072,2.257870008038604,0.0,12.207866092726446,12.207866092726446,3.283295593544998,10.938137040199464
6548,-4.8748474,52.616272,76561199038314474,1,ssg08,rifle,0.0,0.0,0.0,0.0,0.0,0.0,-95.98316939999998,1004.4079209999999,0.0,0.0,0.0,0,7.0,0.17635223631004474,0.10928200375066772,52.760573,-4.96108554,0,0,2.730926209626667,4.972270728894399,-5.156372,11.539429,16.695801,0.025348549667876915,-1.2398821358234196,25.121347317666668,42.43196324948008,-68.72429,56.875534,125.599824,-1.3217934267184088,0.17506227861857093,0.02352624581939799,0.31020106305038997,-0.8713533,1.46496582,2.3363191199999997,1.3021192023895147,5.695526758616662,-0.0659650836120401,2.4451062482908363,-12.038269,12.157394000000002,24.195663000000003,0.7034169212275748,12.129635698358385,0.9891563599323072,2.257870008038604,0.0,12.207866092726446,12.207866092726446,3.283295593544998,10.938137040199464
