tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
5785,9.592102,-360.8352,-88.25455,1520.47,-85.453125,76561199772547578,Caveraiders1,1,revolver,pistol,382.636362631425,0.1761322,0.3083191,2.8137882
5786,9.592102,-361.5929,-93.41057,1515.6292,-86.53125,76561199772547578,Caveraiders1,1,revolver,pistol,382.636362631425,0.1761322,0.3083191,2.8137882
5787,9.636047,-362.79285,-98.65002,1510.8553,-87.796875,76561199772547578,Caveraiders1,1,revolver,pistol,382.636362631425,0.1761322,0.3083191,2.8137882
5788,9.679993,-364.4359,-103.97049,1506.1919,-89.28125,76561199772547578,Caveraiders1,1,revolver,pistol,382.636362631425,0.1761322,0.3083191,2.8137882
5789,9.767883,-366.5182,-109.37611,1501.6831,-90.9375,76561199772547578,Caveraiders1,1,revolver,pistol,382.636362631425,0.1761322,0.3083191,2.8137882
5790,9.811829,-368.60046,-105.91232,1497.1746,-92.796875,76561199772547578,Caveraiders1,1,revolver,pistol,382.636362631425,0.1761322,0.3083191,2.8137882
5791,9.85611,-370.68274,-108.37635,1495.0315,-94.859375,76561199772547578,Caveraiders1,1,revolver,pistol,382.636362631425,0.1761322,0.3083191,2.8137882
5792,9.85611,-372.76514,-90.01202,1495.032,-97.109375,76561199772547578,Caveraiders1,1,revolver,pistol,382.636362631425,0.1761322,0.3083191,2.8137882
5793,9.723938,-374.84753,-135.01202,1495.0325,-99.5625,76561199772547578,Caveraiders1,1,revolver,pistol,382.636362631425,0.1761322,0.3083191,2.8137882
5794,9.547806,-376.92993,-135.01202,1494.5642,-102.203125,76561199772547578,Caveraiders1,1,revolver,pistol,382.636362631425,0.1761322,0.3083191,2.8137882
5795,9.239838,-378.90942,-122.325554,1493.6385,-105.03125,76561199772547578,Caveraiders1,1,revolver,pistol,382.636362631425,0.1761322,0.3083191,2.8137882
