pitch,yaw,tick,steamid,kill_event_id,segment_number,segment_id,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,pitch_mean,pitch_std,pitch_min,pitch_max,yaw_mean,yaw_std,yaw_min,yaw_max
-0.06806470661475106,1.384310959113641,32039,76561198410519875,0,1,0_1,-0.18874577558548025,-0.012853614220310734,-0.23372007212757803,-0.007416274807201047,-0.14192818261550375,-0.0036388652477960287,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-7.105427357601002e-15,2.842170943040401e-14,5.684341886080802e-14
-0.0729977793744916,1.381758423719333,32040,76561198410519875,0,1,0_1,-0.18878157725316116,-0.004001692606422844,0.009466857391441668,0.006115111791595324,0.14886913116770145,0.007772460250739238,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-7.105427357601002e-15,2.842170943040401e-14,5.684341886080802e-14
-0.0746514269136168,1.38066545272389,32041,76561198410519875,0,1,0_1,-0.09637630298015376,0.001908779722230627,0.2529366684707824,0.004040597015699178,0.14903823000258107,-0.001234533122180583,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-7.105427357601002e-15,2.842170943040401e-14,5.684341886080802e-14
-0.07958322908687993,1.3788391108887699,32042,76561198410519875,0,1,0_1,-0.18874577558548025,-0.0010609885578963488,-0.23372007212757928,-0.002222366771881447,-0.28741138892454887,-0.0036519091894311683,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-7.105427357601002e-15,2.842170943040401e-14,5.684341886080802e-14
-0.08286265430749527,1.3766533529307172,32043,76561198410519875,0,1,0_1,-0.1421862917613102,-0.002516435848004336,0.13218876689374728,-0.0011543622052163657,0.22222892134820615,0.0005791814600877549,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-7.105427357601002e-15,2.842170943040401e-14,5.684341886080802e-14
-0.08451630184662047,1.372647878319534,32044,76561198410519875,0,1,0_1,-0.09637630298015376,-0.0098853364135996,0.1302147589684765,-0.005324941061751778,0.0023186496415735134,-0.002444282871986692,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-7.105427357601002e-15,2.842170943040401e-14,5.684341886080802e-14
-0.08451630184662047,1.370455311146658,32045,76561198410519875,0,1,0_1,-0.04978101748830305,-0.0025440096061910937,0.13228306074718682,0.005049735188923854,0.0047350314672091175,0.005950555286514692,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-7.105427357601002e-15,2.842170943040401e-14,5.684341886080802e-14
-0.08120899846388328,1.3642633424460897,32046,76561198410519875,0,1,0_1,0.04340978749322683,-0.018739493737611256,0.255005586549189,-0.011550062167834895,0.07685881600279652,-0.00961784407644418,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-7.105427357601002e-15,2.842170943040401e-14,5.684341886080802e-14
-0.07793084382974536,1.360251058620084,32047,76561198410519875,0,1,0_1,0.04258845511702319,-0.009912910171784242,0.007397939313035365,0.00609724163644476,-0.14451440009011612,0.010147974365764522,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-7.105427357601002e-15,2.842170943040401e-14,5.684341886080802e-14
-0.07134413183536638,1.3511397770889524,32048,76561198410519875,0,1,0_1,0.13581459377057828,-0.03056118363162825,0.2550986478032384,-0.014690479139202732,0.15156734438480382,-0.012034916796216502,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-7.105427357601002e-15,2.842170943040401e-14,5.684341886080802e-14
