tick,pitch,yaw,steamid,label,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range
53549,5.563202,87.1535,76561198286419199,0,-0.04223599999999994,0.1685759999999874,0.041870699999999594,-0.12631800000002613,-0.04260190000000108,-0.041852000000048406,22.7163087,347.13912400000004,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53550,5.4790955,87.36432,76561198286419199,0,-0.08410650000000075,0.21082000000001244,-0.04187050000000081,0.04224400000002504,-0.0837412000000004,0.16856200000005117,28.1954042,434.50344400000006,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53551,5.436859,87.5751,76561198286419199,0,-0.042236499999999566,0.21077999999999975,0.041870000000001184,-4.0000000012696546e-05,0.083740500000002,-0.042284000000037736,33.6322632,522.0785440000001,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53552,5.436859,87.70145,76561198286419199,0,0.0,0.12634999999998797,0.042236499999999566,-0.08443000000001177,0.000366499999998382,-0.08438999999999908,39.069122199999995,609.7799940000001,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53553,5.394623,87.99637,76561198286419199,0,-0.04223599999999994,0.29492000000000473,-0.04223599999999994,0.16857000000001676,-0.0844724999999995,0.25300000000002854,44.4637452,697.7763640000001,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53554,5.394623,88.16495,76561198286419199,0,0.0,0.16858000000000573,0.04223599999999994,-0.126339999999999,0.08447199999999988,-0.29491000000001577,49.8583682,785.941314,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53555,5.3105164,88.628784,76561198286419199,0,-0.08410660000000014,0.4638339999999914,-0.08410660000000014,0.2952539999999857,-0.12634260000000008,0.4215939999999847,55.1688846,874.570098,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53556,5.26828,89.17636,76561198286419199,0,-0.042236400000000174,0.5475760000000065,0.04187019999999997,0.08374200000001508,0.1259768000000001,-0.2115119999999706,60.437164599999996,963.7464580000001,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53557,5.183838,89.724304,76561198286419199,0,-0.08444200000000013,0.5479440000000011,-0.042205599999999954,0.0003679999999945949,-0.08407579999999992,-0.08337400000002049,65.6210026,1053.4707620000001,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53558,5.1419373,90.1037,76561198286419199,0,-0.04190069999999935,0.37939599999999984,0.04254130000000078,-0.16854800000000125,0.08474690000000074,-0.16891599999999585,70.76293989999999,1143.574462,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53559,5.057495,90.31448,76561198286419199,0,-0.08444230000000008,0.21077999999999975,-0.042541600000000734,-0.1686160000000001,-0.08508290000000152,-6.799999999884676e-05,75.8204349,1233.888942,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53560,5.015259,90.52527,76561198286419199,0,-0.04223599999999994,0.21079000000000292,0.04220630000000014,1.0000000003174137e-05,0.08474790000000088,0.16862600000000327,80.8356939,1324.4142120000001,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53561,4.888916,90.69385,76561198286419199,0,-0.12634300000000032,0.16857999999999151,-0.08410700000000038,-0.042210000000011405,-0.12631330000000052,-0.04222000000001458,85.72460989999999,1415.1080620000002,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
53562,4.8044586,90.82019,76561198286419199,0,-0.0844573999999998,0.126339999999999,0.04188560000000052,-0.042239999999992506,0.1259926000000009,-2.99999999811007e-05,90.5290685,1505.9282520000002,-1.0050413446666675,6.526545865371749,-11.252747,5.858124,17.110871,60.25405130873434,37.20945070775118,-12.479095,91.28369,103.76278500000001
