tick,pitch,X,yaw,Y,Z,steamid,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
21887,6.79126,-508.20856,89.48331,409.13205,5.9075775,76561198871399071,0,45.16561432914823,0.0,0.41577148,3.346596,0.0,-0.09233999999999298,0.0,-0.04597999999998592,0.0,-0.09196499999997343,0.41577148,0.0,3.346596,3.926817382799492,0.19369351573636778,67.9126,897.3746409999999,0.09233999999999298,-1.0,0.0,1,5.0,0.1347466769793982,0.0,89.7374641,6.79126,0,0,15.400811206333334,9.243131950079826,6.79126,35.11197,28.32071,0.8933156069618782,-0.4903512020673926,96.58453596333332,12.749551340243407,82.22958,129.49243,47.262850000000014,0.4039229729133644,-0.9991107996281197,0.05269028093645486,0.3803169604324735,-1.2472840000000005,1.8941190000000017,3.141403000000002,0.6847079521051325,5.69945298986484,0.03090021404682275,1.0106929843934251,-3.9732640000000004,2.9106799999999993,6.883944,-0.44399364778295963,3.185176500815716,0.635390841416357,0.874533370946455,0.0,3.9949569079960052,3.9949569079960052,1.699979212089617,2.1274690597857036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21888,6.79126,-510.9242,89.39093,411.9399,6.3087006,76561198871399071,0,45.16561432914823,0.0,0.41577148,3.346596,0.0,-0.09238000000000568,0.0,-4.0000000012696546e-05,0.0,0.045939999999973224,0.41577148,0.0,3.346596,3.926782649123048,0.1846119273182557,74.70385999999999,986.7655709999999,0.09238000000000568,-1.0,0.0,0,5.0,0.1662585200118999,0.0,89.6912511,6.79126,0,0,15.400811206333334,9.243131950079826,6.79126,35.11197,28.32071,0.8933156069618782,-0.4903512020673926,96.58453596333332,12.749551340243407,82.22958,129.49243,47.262850000000014,0.4039229729133644,-0.9991107996281197,0.05269028093645486,0.3803169604324735,-1.2472840000000005,1.8941190000000017,3.141403000000002,0.6847079521051325,5.69945298986484,0.03090021404682275,1.0106929843934251,-3.9732640000000004,2.9106799999999993,6.883944,-0.44399364778295963,3.185176500815716,0.635390841416357,0.874533370946455,0.0,3.9949569079960052,3.9949569079960052,1.699979212089617,2.1274690597857036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21889,6.79126,-513.6406,89.25226,414.747,6.7097178,76561198871399071,0,45.16561432914823,0.0,0.41577148,3.346596,0.0,-0.13866999999999052,0.0,-0.04628999999998484,0.0,-0.04624999999997215,0.41577148,0.0,3.346596,3.9267612818575564,0.18377712475479627,81.49511999999999,1076.017831,0.13866999999999052,-1.0,0.0,0,5.0,0.2052673219240771,0.0,89.6311711,6.79126,0,0,15.400811206333334,9.243131950079826,6.79126,35.11197,28.32071,0.8933156069618782,-0.4903512020673926,96.58453596333332,12.749551340243407,82.22958,129.49243,47.262850000000014,0.4039229729133644,-0.9991107996281197,0.05269028093645486,0.3803169604324735,-1.2472840000000005,1.8941190000000017,3.141403000000002,0.6847079521051325,5.69945298986484,0.03090021404682275,1.0106929843934251,-3.9732640000000004,2.9106799999999993,6.883944,-0.44399364778295963,3.185176500815716,0.635390841416357,0.874533370946455,0.0,3.9949569079960052,3.9949569079960052,1.699979212089617,2.1274690597857036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21890,6.79126,-516.3574,89.113525,417.55374,7.110677,76561198871399071,0,45.16561432914823,0.0,0.41577148,3.346596,0.0,-0.13873500000001115,0.0,-6.500000002063189e-05,0.0,0.04622499999996421,0.41577148,0.0,3.346596,3.926774751327707,0.1829239162175458,88.28637999999998,1165.1313559999999,0.13873500000001115,-1.0,0.0,0,5.0,0.24568354992380717,0.0,89.5572176,6.79126,0,0,15.400811206333334,9.243131950079826,6.79126,35.11197,28.32071,0.8933156069618782,-0.4903512020673926,96.58453596333332,12.749551340243407,82.22958,129.49243,47.262850000000014,0.4039229729133644,-0.9991107996281197,0.05269028093645486,0.3803169604324735,-1.2472840000000005,1.8941190000000017,3.141403000000002,0.6847079521051325,5.69945298986484,0.03090021404682275,1.0106929843934251,-3.9732640000000004,2.9106799999999993,6.883944,-0.44399364778295963,3.185176500815716,0.635390841416357,0.874533370946455,0.0,3.9949569079960052,3.9949569079960052,1.699979212089617,2.1274690597857036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21891,6.837616,-519.0735,88.92883,420.3612,7.511741,76561198871399071,0,45.16561432914823,0.0,0.41577148,3.346596,0.0463559999999994,-0.18469499999999073,0.0463559999999994,-0.04595999999997957,0.0463559999999994,-0.04589499999995894,0.41577148,0.0,3.346596,3.9268159103395543,0.18205904262814968,95.12399599999998,1254.060186,0.1904235325819698,-1.0,1.0,0,5.0,0.29158033031405634,0.014659054321476286,89.4647946,6.7958956,1,0,15.400811206333334,9.243131950079826,6.79126,35.11197,28.32071,0.8933156069618782,-0.4903512020673926,96.58453596333332,12.749551340243407,82.22958,129.49243,47.262850000000014,0.4039229729133644,-0.9991107996281197,0.05269028093645486,0.3803169604324735,-1.2472840000000005,1.8941190000000017,3.141403000000002,0.6847079521051325,5.69945298986484,0.03090021404682275,1.0106929843934251,-3.9732640000000004,2.9106799999999993,6.883944,-0.44399364778295963,3.185176500815716,0.635390841416357,0.874533370946455,0.0,3.9949569079960052,3.9949569079960052,1.699979212089617,2.1274690597857036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21892,6.837616,-521.7883,88.74414,423.1698,7.9129686,76561198871399071,0,45.16561432914823,0.0,0.41577148,3.346596,0.0,-0.18469000000000335,-0.0463559999999994,4.9999999873762135e-06,-0.0927119999999988,0.04596499999996695,0.41577148,0.0,3.346596,3.926748857133886,0.1814400461395164,101.96161199999997,1342.804326,0.18469000000000335,1.0,-1.0,1,5.0,0.3423306030119123,0.01954540576196826,89.3585386,6.8005312,0,1,15.400811206333334,9.243131950079826,6.79126,35.11197,28.32071,0.8933156069618782,-0.4903512020673926,96.58453596333332,12.749551340243407,82.22958,129.49243,47.262850000000014,0.4039229729133644,-0.9991107996281197,0.05269028093645486,0.3803169604324735,-1.2472840000000005,1.8941190000000017,3.141403000000002,0.6847079521051325,5.69945298986484,0.03090021404682275,1.0106929843934251,-3.9732640000000004,2.9106799999999993,6.883944,-0.44399364778295963,3.185176500815716,0.635390841416357,0.874533370946455,0.0,3.9949569079960052,3.9949569079960052,1.699979212089617,2.1274690597857036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21893,6.883972,-524.5015,88.55908,425.98,8.314428,76561198871399071,0,45.16561432914823,0.0,0.41577148,3.346596,0.046356000000000286,-0.1850600000000071,0.046356000000000286,-0.0003700000000037562,0.09271199999999968,-0.0003749999999911324,0.41577148,0.0,3.346596,3.926811420204432,0.18080315947109615,108.84558399999997,1431.363406,0.19077757293770842,-1.0,1.0,1,5.0,0.39272010458964485,0.032412388643849675,89.238409,6.809802400000001,1,0,15.400811206333334,9.243131950079826,6.79126,35.11197,28.32071,0.8933156069618782,-0.4903512020673926,96.58453596333332,12.749551340243407,82.22958,129.49243,47.262850000000014,0.4039229729133644,-0.9991107996281197,0.05269028093645486,0.3803169604324735,-1.2472840000000005,1.8941190000000017,3.141403000000002,0.6847079521051325,5.69945298986484,0.03090021404682275,1.0106929843934251,-3.9732640000000004,2.9106799999999993,6.883944,-0.44399364778295963,3.185176500815716,0.635390841416357,0.874533370946455,0.0,3.9949569079960052,3.9949569079960052,1.699979212089617,2.1274690597857036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21894,6.929962,-527.212,88.328,428.79285,8.716261,76561198871399071,0,45.16561432914823,0.0,0.41577148,3.346596,0.04598999999999975,-0.23107999999999151,-0.00036600000000053257,-0.04601999999998441,-0.04672200000000082,-0.04564999999998065,0.41577148,0.0,3.346596,3.92688236803561,0.18015325062713802,115.77554599999998,1519.691406,0.23561206781486396,-1.0,-1.0,0,5.0,0.4469879017381689,0.0490189881943713,89.0997735,6.8236726,0,0,15.400811206333334,9.243131950079826,6.79126,35.11197,28.32071,0.8933156069618782,-0.4903512020673926,96.58453596333332,12.749551340243407,82.22958,129.49243,47.262850000000014,0.4039229729133644,-0.9991107996281197,0.05269028093645486,0.3803169604324735,-1.2472840000000005,1.8941190000000017,3.141403000000002,0.6847079521051325,5.69945298986484,0.03090021404682275,1.0106929843934251,-3.9732640000000004,2.9106799999999993,6.883944,-0.44399364778295963,3.185176500815716,0.635390841416357,0.874533370946455,0.0,3.9949569079960052,3.9949569079960052,1.699979212089617,2.1274690597857036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21895,6.9763184,-529.91925,88.09729,431.6088,9.031248,76561198871399071,0,45.16561432914823,0.0,0.41577148,3.346596,0.04635640000000052,-0.23071000000000197,0.0003664000000007661,0.00036999999998954536,0.0007324000000012987,0.04638999999997395,0.41577148,0.0,3.346596,3.918927630764463,0.12859887955205745,122.75186439999997,1607.7886959999998,0.2353210996085157,1.0,1.0,1,5.0,0.5052995543572363,0.06704165646175438,88.9473015,6.8421784400000005,1,1,15.400811206333334,9.243131950079826,6.79126,35.11197,28.32071,0.8933156069618782,-0.4903512020673926,96.58453596333332,12.749551340243407,82.22958,129.49243,47.262850000000014,0.4039229729133644,-0.9991107996281197,0.05269028093645486,0.3803169604324735,-1.2472840000000005,1.8941190000000017,3.141403000000002,0.6847079521051325,5.69945298986484,0.03090021404682275,1.0106929843934251,-3.9732640000000004,2.9106799999999993,6.883944,-0.44399364778295963,3.185176500815716,0.635390841416357,0.874533370946455,0.0,3.9949569079960052,3.9949569079960052,1.699979212089617,2.1274690597857036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21896,6.9763184,-532.6224,87.86624,434.42868,9.031248,76561198871399071,0,45.16561432914823,0.0,0.41577148,3.346596,0.0,-0.2310499999999962,-0.04635640000000052,-0.0003399999999942338,-0.046722800000001286,-0.0007099999999837792,0.41577148,0.0,3.346596,3.9062441215187413,0.006697294205915301,129.72818279999998,1695.654936,0.2310499999999962,-1.0,-1.0,1,5.0,0.5557390106098536,0.07632345897264052,88.7763605,6.860684279999999,0,0,15.400811206333334,9.243131950079826,6.79126,35.11197,28.32071,0.8933156069618782,-0.4903512020673926,96.58453596333332,12.749551340243407,82.22958,129.49243,47.262850000000014,0.4039229729133644,-0.9991107996281197,0.05269028093645486,0.3803169604324735,-1.2472840000000005,1.8941190000000017,3.141403000000002,0.6847079521051325,5.69945298986484,0.03090021404682275,1.0106929843934251,-3.9732640000000004,2.9106799999999993,6.883944,-0.44399364778295963,3.185176500815716,0.635390841416357,0.874533370946455,0.0,3.9949569079960052,3.9949569079960052,1.699979212089617,2.1274690597857036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
