tick,pitch,X,yaw,Y,Z,steamid,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
102694,0.3388672,2184.5266,-159.90085,1018.1281,170.45499,76561198185809746,0,721.7047368508078,0.12084961,-0.12084961,0.0,-0.14521788000000002,-6.146850000000001,0.09683228999999999,0.6049199999999928,0.21803285000000006,4.597749999999991,0.17090715746949922,0.0,0.0,1.662772080713432,0.2089955839615401,15.464324889999999,-1371.16484,6.148565129782045,1.0,1.0,1,5.0,13.425785121935407,0.9516180655903598,-137.11648399999999,1.546432489,0,1,1.4515990637666667,1.141291256644955,0.3388672,5.0818634,4.742996199999999,1.8868723131509249,2.367380230147256,116.43780993333331,122.42538482223712,-179.33327,179.4809,358.81417,-1.6082682761737328,0.6383097111177167,-0.004695165217391304,0.12189618263143169,-0.6777191999999999,0.6049498999999998,1.2826690999999997,-0.3074105176491667,13.718458503245458,1.0130042140468225,35.67933784068799,-358.47531000000004,357.1202,715.5955100000001,3.059867793528593,97.51349906056038,4.251333269442703,35.43903449044376,0.0,358.47533037047606,358.47533037047606,9.839864276057867,95.76174164075412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102695,0.36288452,2183.018,-166.48303,1018.55536,170.44681,76561198185809746,0,721.7047368508078,0.12084961,-0.12084961,0.0,0.02401732000000001,-6.582180000000022,0.16923520000000003,-0.43533000000002176,0.07240291000000004,-1.0402500000000146,0.17090715746949922,0.0,0.0,1.567957901220658,0.2148191272379414,15.827209409999998,-1537.64787,6.582223817530082,-1.0,1.0,1,6.0,15.356472785623517,0.9216338824249906,-141.392602,1.311666861,0,0,1.4515990637666667,1.141291256644955,0.3388672,5.0818634,4.742996199999999,1.8868723131509249,2.367380230147256,116.43780993333331,122.42538482223712,-179.33327,179.4809,358.81417,-1.6082682761737328,0.6383097111177167,-0.004695165217391304,0.12189618263143169,-0.6777191999999999,0.6049498999999998,1.2826690999999997,-0.3074105176491667,13.718458503245458,1.0130042140468225,35.67933784068799,-358.47531000000004,357.1202,715.5955100000001,3.059867793528593,97.51349906056038,4.251333269442703,35.43903449044376,0.0,358.47533037047606,358.47533037047606,9.839864276057867,95.76174164075412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102696,0.41130066,2181.631,-168.58864,1018.948,170.43932,76561198185809746,0,721.7047368508078,0.12084961,-0.12084961,0.0,0.048416139999999996,-2.1056099999999844,0.024398819999999988,4.476570000000038,-0.14483638000000004,4.91190000000006,0.17090715746949922,0.0,0.0,1.4415239400372428,0.18242992561002974,16.238510069999997,-1706.23651,2.106166563857767,1.0,1.0,1,7.0,16.15362852220961,0.8144419763559264,-145.879281,1.0817428470000001,0,1,1.4515990637666667,1.141291256644955,0.3388672,5.0818634,4.742996199999999,1.8868723131509249,2.367380230147256,116.43780993333331,122.42538482223712,-179.33327,179.4809,358.81417,-1.6082682761737328,0.6383097111177167,-0.004695165217391304,0.12189618263143169,-0.6777191999999999,0.6049498999999998,1.2826690999999997,-0.3074105176491667,13.718458503245458,1.0130042140468225,35.67933784068799,-358.47531000000004,357.1202,715.5955100000001,3.059867793528593,97.51349906056038,4.251333269442703,35.43903449044376,0.0,358.47533037047606,358.47533037047606,9.839864276057867,95.76174164075412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102697,0.5809021,2180.371,-173.38005,1019.3049,170.43248,76561198185809746,0,721.7047368508078,0.12084961,-0.12084961,0.0,0.16960144,-4.791410000000013,0.1211853,-2.685800000000029,0.09678648000000001,-7.162370000000067,0.17090715746949922,0.0,0.0,1.3095893996208894,0.1838741506636391,16.819412169999996,-1879.61656,4.794410749669891,-1.0,1.0,1,8.0,16.240360966231453,0.5965947563548042,-150.833016,0.871217337,0,0,1.4515990637666667,1.141291256644955,0.3388672,5.0818634,4.742996199999999,1.8868723131509249,2.367380230147256,116.43780993333331,122.42538482223712,-179.33327,179.4809,358.81417,-1.6082682761737328,0.6383097111177167,-0.004695165217391304,0.12189618263143169,-0.6777191999999999,0.6049498999999998,1.2826690999999997,-0.3074105176491667,13.718458503245458,1.0130042140468225,35.67933784068799,-358.47531000000004,357.1202,715.5955100000001,3.059867793528593,97.51349906056038,4.251333269442703,35.43903449044376,0.0,358.47533037047606,358.47533037047606,9.839864276057867,95.76174164075412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102698,0.77453613,2179.2134,-177.42165,1019.63257,170.42622,76561198185809746,0,721.7047368508078,0.12084961,-0.12084961,0.0,0.19363403,-4.041599999999988,0.02403259000000002,0.749810000000025,-0.09715270999999998,3.435610000000054,0.17090715746949922,0.0,0.0,1.203097908110563,0.20462902200179073,17.593948299999997,-2057.0382099999997,4.046235867763265,1.0,1.0,1,9.0,15.969028644725775,0.44311432770339687,-155.81095599999998,0.74782715,1,0,1.4515990637666667,1.141291256644955,0.3388672,5.0818634,4.742996199999999,1.8868723131509249,2.367380230147256,116.43780993333331,122.42538482223712,-179.33327,179.4809,358.81417,-1.6082682761737328,0.6383097111177167,-0.004695165217391304,0.12189618263143169,-0.6777191999999999,0.6049498999999998,1.2826690999999997,-0.3074105176491667,13.718458503245458,1.0130042140468225,35.67933784068799,-358.47531000000004,357.1202,715.5955100000001,3.059867793528593,97.51349906056038,4.251333269442703,35.43903449044376,0.0,358.47533037047606,358.47533037047606,9.839864276057867,95.76174164075412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102699,0.89538574,2178.2654,-179.33327,1019.9404,170.41779,76561198185809746,0,721.7047368508078,0.12084961,-0.12084961,0.0,0.12084961000000005,-1.9116199999999992,-0.07278441999999996,2.129979999999989,-0.09681700999999998,1.3801699999999641,0.17090715746949922,0.0,0.0,0.996761944397821,0.25336635685933934,18.489334039999996,-2236.37148,1.915436152064889,1.0,-1.0,0,8.0,14.640912822798288,0.2738246634851554,-160.75985,0.660691834,0,0,1.4515990637666667,1.141291256644955,0.3388672,5.0818634,4.742996199999999,1.8868723131509249,2.367380230147256,116.43780993333331,122.42538482223712,-179.33327,179.4809,358.81417,-1.6082682761737328,0.6383097111177167,-0.004695165217391304,0.12189618263143169,-0.6777191999999999,0.6049498999999998,1.2826690999999997,-0.3074105176491667,13.718458503245458,1.0130042140468225,35.67933784068799,-358.47531000000004,357.1202,715.5955100000001,3.059867793528593,97.51349906056038,4.251333269442703,35.43903449044376,0.0,358.47533037047606,358.47533037047606,9.839864276057867,95.76174164075412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102700,1.1130524,2177.7017,177.78693,1020.2087,170.4056,76561198185809746,0,721.7047368508078,0.12084961,-0.12084961,0.0,0.2176666599999999,357.1202,0.09681704999999985,359.03182000000004,0.1696014699999998,356.90184000000005,0.17090715746949922,0.0,0.0,0.6244126649101613,0.35473907206511585,19.602386439999997,-2058.5845499999996,357.1202663344869,1.0,1.0,0,7.0,108.55703284145783,0.2588741879032684,-129.232008,0.653413394,0,1,1.4515990637666667,1.141291256644955,0.3388672,5.0818634,4.742996199999999,1.8868723131509249,2.367380230147256,116.43780993333331,122.42538482223712,-179.33327,179.4809,358.81417,-1.6082682761737328,0.6383097111177167,-0.004695165217391304,0.12189618263143169,-0.6777191999999999,0.6049498999999998,1.2826690999999997,-0.3074105176491667,13.718458503245458,1.0130042140468225,35.67933784068799,-358.47531000000004,357.1202,715.5955100000001,3.059867793528593,97.51349906056038,4.251333269442703,35.43903449044376,0.0,358.47533037047606,358.47533037047606,9.839864276057867,95.76174164075412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102701,1.4762878,2177.48,175.56049,1020.27014,170.40451,76561198185809746,0,721.7047368508078,0.12084961,-0.12084961,0.0,0.3632354,-2.226440000000025,0.14556874000000009,-359.34664000000004,0.048751690000000236,-718.3784600000001,0.17090715746949922,0.0,0.0,0.23005858319136477,0.4862301703923421,21.078674239999998,-1883.0240599999995,2.255875667986441,-1.0,1.0,1,7.0,144.72477592299109,0.3656338124156448,-97.25163,0.7163436879999999,1,0,1.4515990637666667,1.141291256644955,0.3388672,5.0818634,4.742996199999999,1.8868723131509249,2.367380230147256,116.43780993333331,122.42538482223712,-179.33327,179.4809,358.81417,-1.6082682761737328,0.6383097111177167,-0.004695165217391304,0.12189618263143169,-0.6777191999999999,0.6049498999999998,1.2826690999999997,-0.3074105176491667,13.718458503245458,1.0130042140468225,35.67933784068799,-358.47531000000004,357.1202,715.5955100000001,3.059867793528593,97.51349906056038,4.251333269442703,35.43903449044376,0.0,358.47533037047606,358.47533037047606,9.839864276057867,95.76174164075412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102702,1.5731049,2177.5352,175.05237,1020.1086,170.41708,76561198185809746,0,721.7047368508078,0.12084961,-0.12084961,0.0,0.09681709999999999,-0.508119999999991,-0.2664183,1.718320000000034,-0.4119870400000001,361.06496000000004,0.17090715746949922,0.0,0.0,0.17117306008820143,0.5639839718443936,22.65177914,-1707.9716899999994,0.5172615250068391,1.0,-1.0,1,8.0,166.60324679081262,0.4552656006154341,-65.04617,0.8010406529999999,0,1,1.4515990637666667,1.141291256644955,0.3388672,5.0818634,4.742996199999999,1.8868723131509249,2.367380230147256,116.43780993333331,122.42538482223712,-179.33327,179.4809,358.81417,-1.6082682761737328,0.6383097111177167,-0.004695165217391304,0.12189618263143169,-0.6777191999999999,0.6049498999999998,1.2826690999999997,-0.3074105176491667,13.718458503245458,1.0130042140468225,35.67933784068799,-358.47531000000004,357.1202,715.5955100000001,3.059867793528593,97.51349906056038,4.251333269442703,35.43903449044376,0.0,358.47533037047606,358.47533037047606,9.839864276057867,95.76174164075412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102703,1.7183228,2177.7761,174.54391,1019.77795,170.44044,76561198185809746,0,721.7047368508078,0.12084961,-0.12084961,0.0,0.1452179,-0.5084599999999853,0.04840080000000002,-0.0003399999999942338,0.3148191,-1.7186600000000283,0.17090715746949922,0.0,0.0,0.40976569170699106,0.562577132909396,24.370101939999998,-1533.4277799999993,0.5287908944756851,-1.0,1.0,1,8.0,179.06117890921607,0.5221762506765614,-32.216378999999996,0.924464425,0,0,1.4515990637666667,1.141291256644955,0.3388672,5.0818634,4.742996199999999,1.8868723131509249,2.367380230147256,116.43780993333331,122.42538482223712,-179.33327,179.4809,358.81417,-1.6082682761737328,0.6383097111177167,-0.004695165217391304,0.12189618263143169,-0.6777191999999999,0.6049498999999998,1.2826690999999997,-0.3074105176491667,13.718458503245458,1.0130042140468225,35.67933784068799,-358.47531000000004,357.1202,715.5955100000001,3.059867793528593,97.51349906056038,4.251333269442703,35.43903449044376,0.0,358.47533037047606,358.47533037047606,9.839864276057867,95.76174164075412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
