tick,pitch,yaw,steamid,label,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis
71342,-0.030899048,-19.840271,76561199055234585,0,0.015457152000000002,0.0463559999999994,0.015457152000000002,0.03125,0.015457152000000002,0.016144000000000602,-0.44810484800000006,-198.94076200000003,0.048865143854807676,1.0,1.0,0,1.0,0.019492171698174143,0.004887980645942699,-19.8940762,-0.0448104848,0,0,0.5799034134766666,0.4868647676629506,-0.0463562,1.6479492,1.6943054,0.7450572623200998,-0.7472047388091014,-17.350065033333333,5.198870693619875,-27.87918,-9.414597,18.464583,0.020036345990593493,-0.9361313619257396,0.0021632778260869566,0.057838289276968775,-0.27740478,0.26196286,0.53936764,-0.11367539730437749,6.615960207498242,0.016275103678929766,0.4954322339753283,-2.433471000000001,3.0184939999999987,5.4519649999999995,1.9035098467138212,17.72536146195178,0.1887718384010343,0.46185976511939036,0.0,3.018652302266772,3.018652302266772,3.9839536999119365,17.288774924238826
71343,0.0,-19.701569,76561199055234585,0,0.030899048,0.1387020000000021,0.015441895999999997,0.0923460000000027,-1.5256000000005154e-05,0.061096000000002704,-0.44810484800000006,-218.64233100000004,0.14210206181230056,1.0,1.0,0,1.0,0.06360759527813295,0.014928465642089848,-19.8740598,-0.0401748648,0,1,0.5799034134766666,0.4868647676629506,-0.0463562,1.6479492,1.6943054,0.7450572623200998,-0.7472047388091014,-17.350065033333333,5.198870693619875,-27.87918,-9.414597,18.464583,0.020036345990593493,-0.9361313619257396,0.0021632778260869566,0.057838289276968775,-0.27740478,0.26196286,0.53936764,-0.11367539730437749,6.615960207498242,0.016275103678929766,0.4954322339753283,-2.433471000000001,3.0184939999999987,5.4519649999999995,1.9035098467138212,17.72536146195178,0.1887718384010343,0.46185976511939036,0.0,3.018652302266772,3.018652302266772,3.9839536999119365,17.288774924238826
71344,0.030899048,-19.578323,76561199055234585,0,0.030899048,0.12324599999999819,0.0,-0.015456000000003911,-0.015441895999999997,-0.10780200000000661,-0.41720580000000007,-238.22065400000005,0.127060330879885,-1.0,0.0,1,2.0,0.1118771060184648,0.02671284880048178,-19.8417188,-0.03244934000000001,0,0,0.5799034134766666,0.4868647676629506,-0.0463562,1.6479492,1.6943054,0.7450572623200998,-0.7472047388091014,-17.350065033333333,5.198870693619875,-27.87918,-9.414597,18.464583,0.020036345990593493,-0.9361313619257396,0.0021632778260869566,0.057838289276968775,-0.27740478,0.26196286,0.53936764,-0.11367539730437749,6.615960207498242,0.016275103678929766,0.4954322339753283,-2.433471000000001,3.0184939999999987,5.4519649999999995,1.9035098467138212,17.72536146195178,0.1887718384010343,0.46185976511939036,0.0,3.018652302266772,3.018652302266772,3.9839536999119365,17.288774924238826
71345,0.061462402,-19.455414,76561199055234585,0,0.030563354,0.12290899999999993,-0.0003356939999999975,-0.00033699999999825536,-0.0003356939999999975,0.015119000000005656,-0.3557433980000001,-257.67606800000004,0.12665204652404674,-1.0,-1.0,0,2.0,0.1627397414363406,0.039279222746366575,-19.797086900000004,-0.0216674798,0,0,0.5799034134766666,0.4868647676629506,-0.0463562,1.6479492,1.6943054,0.7450572623200998,-0.7472047388091014,-17.350065033333333,5.198870693619875,-27.87918,-9.414597,18.464583,0.020036345990593493,-0.9361313619257396,0.0021632778260869566,0.057838289276968775,-0.27740478,0.26196286,0.53936764,-0.11367539730437749,6.615960207498242,0.016275103678929766,0.4954322339753283,-2.433471000000001,3.0184939999999987,5.4519649999999995,1.9035098467138212,17.72536146195178,0.1887718384010343,0.46185976511939036,0.0,3.018652302266772,3.018652302266772,3.9839536999119365,17.288774924238826
71346,0.0769043,-19.378174,76561199055234585,0,0.015441897999999996,0.07723999999999975,-0.015121456000000005,-0.04566900000000018,-0.014785762000000008,-0.045332000000001926,-0.2788390980000001,-277.05424200000004,0.07876845697258748,-1.0,-1.0,0,2.0,0.2042557818787252,0.048845861689637685,-19.744731,-0.0093414298,0,0,0.5799034134766666,0.4868647676629506,-0.0463562,1.6479492,1.6943054,0.7450572623200998,-0.7472047388091014,-17.350065033333333,5.198870693619875,-27.87918,-9.414597,18.464583,0.020036345990593493,-0.9361313619257396,0.0021632778260869566,0.057838289276968775,-0.27740478,0.26196286,0.53936764,-0.11367539730437749,6.615960207498242,0.016275103678929766,0.4954322339753283,-2.433471000000001,3.0184939999999987,5.4519649999999995,1.9035098467138212,17.72536146195178,0.1887718384010343,0.46185976511939036,0.0,3.018652302266772,3.018652302266772,3.9839536999119365,17.288774924238826
71347,0.09234619,-19.34761,76561199055234585,0,0.01544189,0.030564000000001812,-7.999999995789153e-09,-0.04667599999999794,0.01512144800000001,-0.0010069999999977597,-0.18649290800000012,-296.401852,0.034243394439982304,-1.0,-1.0,0,2.0,0.2304184721091669,0.056292596065644435,-19.6893187,0.004528809199999999,0,0,0.5799034134766666,0.4868647676629506,-0.0463562,1.6479492,1.6943054,0.7450572623200998,-0.7472047388091014,-17.350065033333333,5.198870693619875,-27.87918,-9.414597,18.464583,0.020036345990593493,-0.9361313619257396,0.0021632778260869566,0.057838289276968775,-0.27740478,0.26196286,0.53936764,-0.11367539730437749,6.615960207498242,0.016275103678929766,0.4954322339753283,-2.433471000000001,3.0184939999999987,5.4519649999999995,1.9035098467138212,17.72536146195178,0.1887718384010343,0.46185976511939036,0.0,3.018652302266772,3.018652302266772,3.9839536999119365,17.288774924238826
71348,0.09234619,-19.270355,76561199055234585,0,0.0,0.07725500000000096,-0.01544189,0.04669099999999915,-0.015441882000000004,0.09336699999999709,-0.09414671800000013,-315.672207,0.07725500000000096,1.0,-1.0,1,3.0,0.2513034862443128,0.0593656094388411,-19.6261809,0.018399048199999997,0,0,0.5799034134766666,0.4868647676629506,-0.0463562,1.6479492,1.6943054,0.7450572623200998,-0.7472047388091014,-17.350065033333333,5.198870693619875,-27.87918,-9.414597,18.464583,0.020036345990593493,-0.9361313619257396,0.0021632778260869566,0.057838289276968775,-0.27740478,0.26196286,0.53936764,-0.11367539730437749,6.615960207498242,0.016275103678929766,0.4954322339753283,-2.433471000000001,3.0184939999999987,5.4519649999999995,1.9035098467138212,17.72536146195178,0.1887718384010343,0.46185976511939036,0.0,3.018652302266772,3.018652302266772,3.9839536999119365,17.288774924238826
71349,0.09234619,-19.085663,76561199055234585,0,0.0,0.1846919999999983,0.0,0.10743699999999734,0.01544189,0.06074599999999819,-0.0018005280000001345,-334.75787,0.1846919999999983,1.0,0.0,0,3.0,0.28245247303315646,0.058755219690754736,-19.5445739,0.032269287199999996,0,1,0.5799034134766666,0.4868647676629506,-0.0463562,1.6479492,1.6943054,0.7450572623200998,-0.7472047388091014,-17.350065033333333,5.198870693619875,-27.87918,-9.414597,18.464583,0.020036345990593493,-0.9361313619257396,0.0021632778260869566,0.057838289276968775,-0.27740478,0.26196286,0.53936764,-0.11367539730437749,6.615960207498242,0.016275103678929766,0.4954322339753283,-2.433471000000001,3.0184939999999987,5.4519649999999995,1.9035098467138212,17.72536146195178,0.1887718384010343,0.46185976511939036,0.0,3.018652302266772,3.018652302266772,3.9839536999119365,17.288774924238826
71350,0.09234619,-18.931854,76561199055234585,0,0.0,0.15380899999999897,0.0,-0.030882999999999328,0.0,-0.13831999999999667,0.09054566199999986,-353.689724,0.15380899999999897,-1.0,0.0,1,4.0,0.31123608784294204,0.05433743776073091,-19.447586,0.046139526199999996,0,0,0.5799034134766666,0.4868647676629506,-0.0463562,1.6479492,1.6943054,0.7450572623200998,-0.7472047388091014,-17.350065033333333,5.198870693619875,-27.87918,-9.414597,18.464583,0.020036345990593493,-0.9361313619257396,0.0021632778260869566,0.057838289276968775,-0.27740478,0.26196286,0.53936764,-0.11367539730437749,6.615960207498242,0.016275103678929766,0.4954322339753283,-2.433471000000001,3.0184939999999987,5.4519649999999995,1.9035098467138212,17.72536146195178,0.1887718384010343,0.46185976511939036,0.0,3.018652302266772,3.018652302266772,3.9839536999119365,17.288774924238826
71351,0.09234619,-18.777695,76561199055234585,0,0.0,0.15415899999999993,0.0,0.00035000000000096065,0.0,0.03123300000000029,0.18289185199999985,-372.467419,0.15415899999999993,1.0,0.0,1,4.0,0.33413820419428214,0.04500466074222067,-19.3366928,0.060009765199999995,0,1,0.5799034134766666,0.4868647676629506,-0.0463562,1.6479492,1.6943054,0.7450572623200998,-0.7472047388091014,-17.350065033333333,5.198870693619875,-27.87918,-9.414597,18.464583,0.020036345990593493,-0.9361313619257396,0.0021632778260869566,0.057838289276968775,-0.27740478,0.26196286,0.53936764,-0.11367539730437749,6.615960207498242,0.016275103678929766,0.4954322339753283,-2.433471000000001,3.0184939999999987,5.4519649999999995,1.9035098467138212,17.72536146195178,0.1887718384010343,0.46185976511939036,0.0,3.018652302266772,3.018652302266772,3.9839536999119365,17.288774924238826
