tick,pitch,yaw,steamid,label,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range
4674,0.6324005,8.400085,76561199039565051,0,-0.08274839999999994,0.30247500000000116,0.027114900000000053,-0.357390999999998,0.027114900000000053,0.027817300000003264,3.1074371000000003,30.3281087,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4675,0.6049347,8.922607,76561199039565051,0,-0.027465799999999985,0.5225219999999986,0.05528259999999996,0.22004699999999744,0.028167699999999907,0.5774379999999955,3.7123718000000006,39.2507157,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4676,0.6049347,9.417694,76561199039565051,0,0.0,0.49508699999999983,0.027465799999999985,-0.027434999999998766,-0.027816799999999975,-0.2474819999999962,4.317306500000001,48.6684097,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4677,0.5774689,10.050079,76561199039565051,0,-0.027465800000000096,0.6323850000000011,-0.027465800000000096,0.13729800000000125,-0.05493160000000008,0.16473300000000002,4.8947754,58.718488699999995,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4678,0.5774689,10.187759,76561199039565051,0,0.0,0.13767999999999958,0.027465800000000096,-0.4947050000000015,0.05493160000000019,-0.6320030000000028,5.4722443,68.9062477,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4679,0.55000305,10.5177,76561199039565051,0,-0.027465849999999903,0.3299409999999998,-0.027465849999999903,0.19226100000000024,-0.05493165,0.6869660000000017,6.02224735,79.4239477,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4680,0.55000305,10.600098,76561199039565051,0,0.0,0.08239799999999953,0.027465849999999903,-0.2475430000000003,0.054931699999999806,-0.43980400000000053,6.5722504,90.0240457,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4681,0.55000305,10.600098,76561199039565051,0,0.0,0.0,0.0,-0.08239799999999953,-0.027465849999999903,0.16514500000000076,7.12225345,100.6241437,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4682,0.4950714,10.5177,76561199039565051,0,-0.054931650000000054,-0.08239799999999953,-0.054931650000000054,-0.08239799999999953,-0.054931650000000054,0.0,7.617324849999999,111.14184370000001,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4683,0.4676056,10.407486,76561199039565051,0,-0.027465799999999985,-0.11021399999999915,0.02746585000000007,-0.02781599999999962,0.08239750000000012,0.05458199999999991,8.08493045,121.54932970000002,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4684,0.4676056,10.050079,76561199039565051,0,0.0,-0.35740700000000025,0.027465799999999985,-0.2471930000000011,-5.000000008470451e-08,-0.2193770000000015,8.55253605,131.59940870000003,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4685,0.4676056,9.775085,76561199039565051,0,0.0,-0.2749939999999995,0.0,0.08241300000000074,-0.027465799999999985,0.32960600000000184,9.020141650000001,141.37449370000002,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4686,0.4676056,8.922607,76561199039565051,0,0.0,-0.8524780000000014,0.0,-0.5774840000000019,0.0,-0.6598970000000026,9.487747250000002,150.29710070000002,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4687,0.4676056,7.630005,76561199039565051,0,0.0,-1.2926019999999996,0.0,-0.4401239999999982,0.0,0.1373600000000037,9.955352850000002,157.92710570000003,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4688,0.4676056,4.1651917,76561199039565051,0,0.0,-3.4648132999999994,0.0,-2.1722113,0.0,-1.7320873000000017,10.422958450000003,162.09229740000004,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4689,0.4676056,0.9750366,76561199039565051,0,0.0,-3.1901551,0.0,0.2746581999999993,0.0,2.446869499999999,10.890564050000004,163.06733400000005,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4690,0.4676056,-0.75737,76561199039565051,0,0.0,-1.7324066,0.0,1.4577485000000001,0.0,1.1830903000000008,11.358169650000004,162.30996400000004,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4691,0.4676056,-4.1947174,76561199039565051,0,0.0,-3.4373474,0.0,-1.7049408000000001,0.0,-3.1626893000000003,11.825775250000005,158.11524660000003,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4692,0.4676056,-7.5500183,76561199039565051,0,0.0,-3.3553008999999996,0.0,0.08204650000000058,0.0,1.7869873000000007,12.293380850000005,150.56522830000003,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4693,0.4676056,-10.82222,76561199039565051,0,0.0,-3.2722017,0.0,0.08309919999999948,0.0,0.0010526999999989073,12.760986450000006,139.74300830000004,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4694,0.4676056,-15.359924,76561199039565051,0,0.0,-4.537704,0.0,-1.2655022999999996,0.0,-1.3486014999999991,13.228592050000007,124.38308430000004,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4695,0.4676056,-17.807465,76561199039565051,0,0.0,-2.447541000000001,0.0,2.0901629999999987,0.0,3.3556652999999983,13.696197650000007,106.57561930000003,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
4696,0.4676056,-18.90747,76561199039565051,0,0.0,-1.1000049999999995,0.0,1.3475360000000016,0.0,-0.742626999999997,14.163803250000008,87.66814930000002,0.5383262183666666,0.6559708779586201,-0.41267395,2.6150818,3.02775575,-31.384728662666664,21.76060822890581,-65.68485,10.600098,76.284948
