tick,pitch,yaw,steamid,label,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range
50599,-0.24307251,-94.87347,76561199469944110,0,0.014419560000000026,-0.014079999999992765,0.014419560000000026,0.00034000000000844466,0.014419560000000026,-0.013734999999996944,-1.01554872,-379.39430500000003,1.8807587145499998,1.5488610459280028,-1.1868591,7.1215515,8.3084106,-92.74741929333334,2.487666656881122,-96.67557,-88.76747,7.90809999999999
50600,-0.24307251,-94.887886,76561199469944110,0,0.0,-0.014415999999997098,-0.014419560000000026,-0.00033600000000433283,-0.02883912000000005,-0.0006760000000127775,-1.25862123,-474.282191,1.8807587145499998,1.5488610459280028,-1.1868591,7.1215515,8.3084106,-92.74741929333334,2.487666656881122,-96.67557,-88.76747,7.90809999999999
50601,-0.22865295,-94.902306,76561199469944110,0,0.014419559999999998,-0.01442000000000121,0.014419559999999998,-4.0000000041118255e-06,0.028839120000000024,0.000332000000000221,-1.48727418,-569.184497,1.8807587145499998,1.5488610459280028,-1.1868591,7.1215515,8.3084106,-92.74741929333334,2.487666656881122,-96.67557,-88.76747,7.90809999999999
50602,-0.22865295,-94.91638,76561199469944110,0,0.0,-0.014074000000007914,-0.014419559999999998,0.0003459999999932961,-0.028839119999999996,0.00034999999999740794,-1.71592713,-664.100877,1.8807587145499998,1.5488610459280028,-1.1868591,7.1215515,8.3084106,-92.74741929333334,2.487666656881122,-96.67557,-88.76747,7.90809999999999
50603,-0.22865295,-94.91638,76561199469944110,0,0.0,0.0,0.0,0.014074000000007914,0.014419559999999998,0.013728000000014617,-1.9445800800000002,-759.017257,1.8807587145499998,1.5488610459280028,-1.1868591,7.1215515,8.3084106,-92.74741929333334,2.487666656881122,-96.67557,-88.76747,7.90809999999999
50604,-0.21456909,-94.9308,76561199469944110,0,0.014083860000000004,-0.01442000000000121,0.014083860000000004,-0.01442000000000121,0.014083860000000004,-0.028494000000009123,-2.15914917,-853.948057,1.8807587145499998,1.5488610459280028,-1.1868591,7.1215515,8.3084106,-92.74741929333334,2.487666656881122,-96.67557,-88.76747,7.90809999999999
50605,-0.21456909,-94.9308,76561199469944110,0,0.0,0.0,-0.014083860000000004,0.01442000000000121,-0.028167720000000007,0.02884000000000242,-2.37371826,-948.8788569999999,1.8807587145499998,1.5488610459280028,-1.1868591,7.1215515,8.3084106,-92.74741929333334,2.487666656881122,-96.67557,-88.76747,7.90809999999999
50606,-0.21456909,-94.9308,76561199469944110,0,0.0,0.0,0.0,0.0,0.014083860000000004,-0.01442000000000121,-2.58828735,-1043.809657,1.8807587145499998,1.5488610459280028,-1.1868591,7.1215515,8.3084106,-92.74741929333334,2.487666656881122,-96.67557,-88.76747,7.90809999999999
50607,-0.21456909,-94.9308,76561199469944110,0,0.0,0.0,0.0,0.0,0.0,0.0,-2.80285644,-1138.740457,1.8807587145499998,1.5488610459280028,-1.1868591,7.1215515,8.3084106,-92.74741929333334,2.487666656881122,-96.67557,-88.76747,7.90809999999999
50608,-0.21456909,-94.9308,76561199469944110,0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0174255299999997,-1233.6712570000002,1.8807587145499998,1.5488610459280028,-1.1868591,7.1215515,8.3084106,-92.74741929333334,2.487666656881122,-96.67557,-88.76747,7.90809999999999
