tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
33074,3.2358093,69.35713,-165.55057,-1588.9307,-172.27551,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,970.0637937804446,-0.41267395,-0.852478,1.3948205
33075,3.2358093,65.57104,-165.55057,-1589.8921,-172.17938,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,970.0637937804446,-0.41267395,-0.852478,1.3948205
33076,3.2358093,61.785183,-165.55057,-1590.8544,-172.08313,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,970.0637937804446,-0.41267395,-0.852478,1.3948205
33077,3.2358093,57.999542,-165.55057,-1591.8175,-171.98682,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,970.0637937804446,-0.41267395,-0.852478,1.3948205
33078,3.2358093,54.214146,-165.55057,-1592.7816,-171.89044,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,970.0637937804446,-0.41267395,-0.852478,1.3948205
33079,3.2358093,50.428963,-165.55057,-1593.7466,-171.79395,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,970.0637937804446,-0.41267395,-0.852478,1.3948205
33080,3.2358093,46.643993,-165.55057,-1594.7124,-171.69739,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,970.0637937804446,-0.41267395,-0.852478,1.3948205
33081,3.2358093,42.85916,-165.55057,-1595.6787,-171.60071,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,970.0637937804446,-0.41267395,-0.852478,1.3948205
33082,3.2358093,39.074543,-165.55057,-1596.6459,-171.50403,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,970.0637937804446,-0.41267395,-0.852478,1.3948205
33083,3.2358093,35.29006,-165.55057,-1597.6136,-171.40723,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,970.0637937804446,-0.41267395,-0.852478,1.3948205
33084,3.2358093,31.505682,-165.55057,-1598.5818,-171.31042,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,970.0637937804446,-0.41267395,-0.852478,1.3948205
