tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
68150,11.659927,168.59644,19.24289,-1670.696,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68151,11.742676,167.552,19.13269,-1667.7424,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68152,11.825073,166.49213,18.995361,-1664.7369,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68153,11.880005,165.41846,18.885162,-1661.6833,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68154,11.934937,164.33293,18.747833,-1658.5856,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68155,12.01767,163.23703,18.582687,-1655.4467,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68156,12.072601,162.13242,18.445358,-1652.2698,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68157,12.127533,161.02042,18.307678,-1649.0577,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68158,12.154999,159.90254,18.142883,-1645.8131,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68159,12.20993,158.78012,17.977753,-1642.5381,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68160,12.237396,157.65437,17.840424,-1639.2351,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68161,12.265198,156.52634,17.675293,-1635.9062,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68162,12.320129,155.39732,17.42775,-1632.5532,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68163,12.347595,154.26813,17.29042,-1629.1775,-168.25085,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68164,12.375061,153.13934,17.207672,-1625.781,-168.59052,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68165,12.375061,152.01237,17.125275,-1622.3685,-168.93176,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68166,12.375061,150.8909,17.097809,-1618.9542,-169.2732,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68167,12.375061,149.77534,16.98761,-1615.538,-169.6148,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68168,12.375061,148.6664,16.740417,-1612.1196,-169.95667,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68169,12.375061,147.56595,16.190414,-1608.6985,-170.29877,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68170,12.375061,146.47803,15.585144,-1605.286,-170.64001,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68171,12.375061,145.51825,14.567871,-1602.31,-170.93762,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68172,12.375061,144.74475,13.550262,-1600.0001,-171.16858,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68173,12.375061,144.09935,12.230194,-1598.1798,-171.35059,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68174,12.375061,143.56409,10.745316,-1596.8105,-171.48755,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68175,12.375061,143.12437,9.727707,-1595.8568,-171.58289,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68176,12.347595,142.77426,8.765381,-1595.3004,-171.63855,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68177,12.347595,142.52202,8.187897,-1595.1356,-171.65503,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68178,12.347595,142.39691,7.8301697,-1595.3324,-171.63538,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68179,12.320129,142.36745,7.6653748,-1595.7494,-171.59363,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68180,12.320129,142.38583,7.5826263,-1596.371,-171.5315,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68181,12.292664,142.44073,7.3629,-1597.1971,-171.44885,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68182,12.292664,142.52733,7.1428223,-1598.2281,-171.34576,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68183,12.265198,142.643,6.9776917,-1599.4645,-171.22217,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68184,12.265198,142.78568,6.8128967,-1600.9066,-171.07794,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68185,12.265198,142.95354,6.8128967,-1602.5382,-170.9148,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68186,12.265198,143.14427,6.8128967,-1604.3439,-170.73419,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68187,12.265198,143.3561,6.8128967,-1606.3097,-170.5376,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68188,12.265198,143.5872,6.8128967,-1608.4227,-170.3263,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
68189,12.265198,143.83626,6.8128967,-1610.6708,-170.1015,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,291.16257807135264,-0.7975464,-0.6876831,2.5208414
