tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
68261,13.007477,265.67828,2.8251953,-1544.1915,-175.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,439.1499437577412,-0.30247498,-0.5499878,2.8020842
68262,12.897614,269.25153,3.0727386,-1543.8082,-175.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,439.1499437577412,-0.30247498,-0.5499878,2.8020842
68263,12.759933,272.82614,3.6227417,-1543.438,-175.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,439.1499437577412,-0.30247498,-0.5499878,2.8020842
68264,12.622604,276.40167,4.1727448,-1543.0765,-175.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,439.1499437577412,-0.30247498,-0.5499878,2.8020842
68265,12.484924,279.9777,4.8051453,-1542.7198,-175.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,439.1499437577412,-0.30247498,-0.5499878,2.8020842
68266,12.265198,283.55362,5.8502197,-1542.3624,-175.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,439.1499437577412,-0.30247498,-0.5499878,2.8020842
68267,11.797607,287.1065,7.9953003,-1542.1125,-175.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,439.1499437577412,-0.30247498,-0.5499878,2.8020842
68268,11.467667,290.6224,9.672775,-1542.0598,-175.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,439.1499437577412,-0.30247498,-0.5499878,2.8020842
68269,11.054993,294.10446,11.845322,-1542.216,-175.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,439.1499437577412,-0.30247498,-0.5499878,2.8020842
68270,10.422592,297.57233,15.420349,-1542.5117,-175.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,439.1499437577412,-0.30247498,-0.5499878,2.8020842
68271,10.065186,301.03317,17.75769,-1542.9247,-175.96875,76561199849680237,S1lent|Talent_skins.army,1,deagle,pistol,439.1499437577412,-0.30247498,-0.5499878,2.8020842
