pitch,yaw,tick,steamid,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range
-13.289001,-97.35191,62024,76561198822643426,0.0,0.0,0.0,0.0,0.0,0.0,-53.156004,-389.40764,-13.244851495016615,0.7659652837261997,-13.289001,0.0,13.289001,-97.35401100996677,0.036451160571782555,-97.984314,-97.35191,0.632403999999994
-13.289001,-97.35191,62025,76561198822643426,0.0,0.0,0.0,0.0,0.0,0.0,-66.44500500000001,-486.75955,-13.244851495016615,0.7659652837261997,-13.289001,0.0,13.289001,-97.35401100996677,0.036451160571782555,-97.984314,-97.35191,0.632403999999994
-13.289001,-97.35191,62026,76561198822643426,0.0,0.0,0.0,0.0,0.0,0.0,-79.73400600000001,-584.11146,-13.244851495016615,0.7659652837261997,-13.289001,0.0,13.289001,-97.35401100996677,0.036451160571782555,-97.984314,-97.35191,0.632403999999994
-13.289001,-97.35191,62027,76561198822643426,0.0,0.0,0.0,0.0,0.0,0.0,-93.023007,-681.4633699999999,-13.244851495016615,0.7659652837261997,-13.289001,0.0,13.289001,-97.35401100996677,0.036451160571782555,-97.984314,-97.35191,0.632403999999994
-13.289001,-97.35191,62028,76561198822643426,0.0,0.0,0.0,0.0,0.0,0.0,-106.312008,-778.8152799999999,-13.244851495016615,0.7659652837261997,-13.289001,0.0,13.289001,-97.35401100996677,0.036451160571782555,-97.984314,-97.35191,0.632403999999994
-13.289001,-97.35191,62029,76561198822643426,0.0,0.0,0.0,0.0,0.0,0.0,-119.601009,-876.1671899999999,-13.244851495016615,0.7659652837261997,-13.289001,0.0,13.289001,-97.35401100996677,0.036451160571782555,-97.984314,-97.35191,0.632403999999994
-13.289001,-97.35191,62030,76561198822643426,0.0,0.0,0.0,0.0,0.0,0.0,-132.89001000000002,-973.5190999999999,-13.244851495016615,0.7659652837261997,-13.289001,0.0,13.289001,-97.35401100996677,0.036451160571782555,-97.984314,-97.35191,0.632403999999994
-13.289001,-97.35191,62031,76561198822643426,0.0,0.0,0.0,0.0,0.0,0.0,-146.17901100000003,-1070.8710099999998,-13.244851495016615,0.7659652837261997,-13.289001,0.0,13.289001,-97.35401100996677,0.036451160571782555,-97.984314,-97.35191,0.632403999999994
-13.289001,-97.35191,62032,76561198822643426,0.0,0.0,0.0,0.0,0.0,0.0,-159.46801200000004,-1168.22292,-13.244851495016615,0.7659652837261997,-13.289001,0.0,13.289001,-97.35401100996677,0.036451160571782555,-97.984314,-97.35191,0.632403999999994
-13.289001,-97.35191,62033,76561198822643426,0.0,0.0,0.0,0.0,0.0,0.0,-172.75701300000006,-1265.57483,-13.244851495016615,0.7659652837261997,-13.289001,0.0,13.289001,-97.35401100996677,0.036451160571782555,-97.984314,-97.35191,0.632403999999994
